"#","Title","Time","Lyrics","Music","Producer(s)","Performer(s)"
"1","\"Intro\"","1:16","","","",""
"2","\"Seven\"","3:30","Boondox","Mike E. Clark","Boondox","Boondox"
"3","\"Out Here\"","3:18","Boondox","Mike E. Clark
Tino Grosse","Boondox","Boondox"
"4","\"It Ain't A Thang\"","3:45","Boondox","Mike E. Clark","Boondox","Boondox"
"5","\"Digging\"","3:04","Boondox","Kuma","Boondox","Boondox"
"6","\"Lady In The Jaguar\"","3:55","Boondox
ICP","Mike E. Clark","Boondox
ICP","Boondox
ICP"
"7","\"They Pray with Snakes\"","3:56","Boondox","Kuma","Boondox","Boondox"
"8","\"Rollin Hard\"","4:07","Boondox","Mike E. Clark","Boondox","Boondox"
"9","\"The Harvest\"","3:53","Boondox
AMB","Kuma","Boondox
AMB","Boondox
Axe Murder Boyz"
"10","\"Sippin\"","3:16","Boondox","Mike E. Clark","Boondox","Boondox"
"11","\"Lake of Fire\"","4:12","Boondox","Mike E. Clark","Boondox","Boondox"
"12","\"Red Mist\"","3:54","Boondox","Mike E. Clark","Boondox","Boondox
Blaze Ya Dead Homie
Twiztid"
"13","\"Angel Like\"","3:42","Boondox","Mike E. Clark","Boondox","Boondox"
