"Olympics","Athlete","Judge (Official)","Coach","Language"
"1920 Summer Olympics","Victor Boin","-","-","-"
"1924 Winter Olympics","Camille Mandrillon","-","-","-"
"1924 Summer Olympics","Géo André","-","-","French."
"1928 Winter Olympics","Hans Eidenbenz","-","-","-"
"1928 Summer Olympics","Harry Dénis","-","-","-"
"1932 Winter Olympics","Jack Shea","-","-","-"
"1932 Summer Olympics","George Calnan","-","-","English"
"1936 Winter Olympics","Willy Bogner, Sr.","-","-","-"
"1936 Summer Olympics","Rudolf Ismayr","-","-","-"
"1948 Winter Olympics","Bibi Torriani","-","-","-"
"1948 Summer Olympics","Donald Finlay","-","-","English"
"1952 Winter Olympics","Torbjørn Falkanger","-","-","-"
"1952 Summer Olympics","Heikki Savolainen","-","-","-"
"1956 Winter Olympics","Giuliana Minuzzo","-","-","-"
"1956 Summer Olympics","John Landy (Melbourne)
Henri Saint Cyr (Stockholm)","-","-","English/Swedish"
"1960 Winter Olympics","Carol Heiss","-","-","-"
"1960 Summer Olympics","Adolfo Consolini","-","-","-"
"1964 Winter Olympics","Paul Aste","-","-","German"
"1964 Summer Olympics","Takashi Ono","-","-","Japanese"
"1968 Winter Olympics","Léo Lacroix","-","-","French"
"1968 Summer Olympics","Pablo Garrido","-","-","Spanish"
"1972 Winter Olympics","Keiichi Suzuki","Fumio Asaki","-","Japanese"
"1972 Summer Olympics","Heidi Schüller","Heinz Pollay","-","German"
"1976 Winter Olympics","Werner Delle Karth","Willy Köstinger","-","German"
"1976 Summer Olympics","Pierre St.-Jean","Maurice Fauget","-","French (St.-Jean)/English (Fauget)"
"1980 Winter Olympics","Eric Heiden","Terry McDermott","-","English"
"1980 Summer Olympics","Nikolai Andrianov","Alexander Medved","-","Russian"
"1984 Winter Olympics","Bojan Križaj","Dragan Perovic","-","Serbo-Croatian"
"1984 Summer Olympics","Edwin Moses","Sharon Weber","-","English"
"1988 Winter Olympics","Pierre Harvey","Suzanna Morrow-Francis","-","English"
"1988 Summer Olympics","Hur Jae
Shon Mi-Na","Lee Hak-Rae","-","Korean"
"1992 Winter Olympics","Surya Bonaly","Pierre Bornat","-","French"
"1992 Summer Olympics","Luis Doreste Blanco","Eugeni Asensio","-","Spanish/Catalan"
"1994 Winter Olympics","Vegard Ulvang","Kari Kåring","-","English (Ulvang)/Norwegian (Kåring)"
"1996 Summer Olympics","Teresa Edwards","Hobie Billingsley","-","English"
"1998 Winter Olympics","Kenji Ogiwara","Junko Hiramatsu","-","Japanese"
"2000 Summer Olympics","Rechelle Hawkes","Peter Kerr","-","English"
"2002 Winter Olympics","Jimmy Shea","Allen Church","-","English"
"2004 Summer Olympics","Zoi Dimoschaki","Lazaros Voreadis","-","Greek"
"2006 Winter Olympics","Giorgio Rocca","Fabio Bianchetti","-","Italian"
"2008 Summer Olympics","Zhang Yining","Huang Liping","-","Chinese"
"2010 Winter Olympics","Hayley Wickenheiser","Michel Verrault","-","English/French"
"2012 Summer Olympics","Sarah Stevenson","Mik Basi","Eric Farrell","English"
"2014 Winter Olympics","Ruslan Zakharov","Vyacheslav Vedenin, Jr","Anastassia Popkova","Russian"
