"Season","Driver","Equipment","Position","Points","Races","Wins","Second","Third"
"2001","Modris Stelle","Zabel-AYR","27","14","10","—","—","—"
"2002","Modris Stelle","Zabel-AYR","23","69","12","—","—","—"
"2003","Daniël Willemsen","Zabel-VMC","1","561","24","13","9","—"
"2004","Daniël Willemsen","Zabel-VMC","1","572","26","18","4","1"
"2005","Kristers Serģis","MTH-BSU","2","440","22","7","12","—"
"2006","Kristers Serģis","KTM-Mefo","19","64","4","—","2","1"
"2007","Kristers Serģis","KTM-Mefo","3","242","16","1","8","1"
"2008","Kristers Serģis","KTM-AYR","2","434","24","4","12","2"
"2009","Nicky Pulinx","Zabel-VMC","12","229","25","—","—","—"
"2010","Maris Rupeiks","KTM-WSP","5","423","28","1","4","2"
"2011","Maris Rupeiks","Zabel-WSP","4","316","22","1","4","—"
"2012","Etienne Bax","Zabel-WSP","2","447","22","9","8","1"
"2013","Etienne Bax","Zabel-VMC","2","513","25","14","6","—"
"","Overall 2001 – 2013","","","4,224","250","68","69","8"
