"#","Date","Visitor","Score","Home","Record","Pts"
"1","December 21","Ottawa Senators","5–2","Montreal Canadiens","1–0–0","2"
"2","December 26","Toronto Arenas","2–5","Ottawa Senators","2–0–0","4"
"3","December 31","Ottawa Senators","2–4","Toronto Arenas","2–1–0","4"
"4","January 2","Montreal Canadiens","2–7","Ottawa Senators","3–1–0","6"
"5","January 4","Ottawa Senators","2–5","Montreal Canadiens","3–2–0","6"
"6","January 9","Toronto Arenas","2–4","Ottawa Senators","4–2–0","8"
"7","January 14","Ottawa Senators","2–5","Toronto Arenas","4–3–0","8"
"8","January 16","Montreal Canadiens","10–6","Ottawa Senators","4–4–0","8"
"9","January 18","Ottawa Senators","3–5","Montreal Canadiens","4–5–0","8"
"10","January 23","Toronto Arenas","2–3","Ottawa Senators","5–5–0","10"
"11","January 25","Ottawa Senators","1–0","Montreal Canadiens","1–0–0","2"
"12","January 28","Ottawa Senators","2–1","Toronto Arenas","2–0–0","4"
"13","January 30","Montreal Canadiens","2–3","Ottawa Senators","3–0–0","6"
"14","February 6","Toronto Arenas","1–3","Ottawa Senators","4–0–0","8"
"15","February 8","Ottawa Senators","3–4","Montreal Canadiens","4–1–0","18"
"16","February 13","Montreal Canadiens","0–7","Ottawa Senators","5–1–0","10"
"17","February 18","Ottawa Senators","4–3","Toronto Arenas","6–1–0","12"
"18","February 20","Toronto Arenas","3–9","Ottawa Senators","7–1–0","14"
