Place	Player	Country	Score	To par	Money ($)
T1	Bobby Jones (a)	United States	69-75-71-79=294	+6	Playoff
T1	Al Espinosa	United States	70-72-77-75=294	+6	Playoff
T3	Gene Sarazen	United States	71-71-76-78=296	+8	700
T3	Denny Shute	United States	73-71-76-76=296	+8	700
T5	Tommy Armour	Scotland\n United States	74-71-76-76=297	+9	550
T5	George Von Elm (a)	United States	79-70-74-74=297	+9	0
7	Henry Ciuci	United States	78-74-72-75=299	+11	450
T8	Leo Diegel	United States	74-74-76-77=301	+13	300
T8	Peter O'Hara	United States	74-76-73-78=301	+13	300
10	Horton Smith	United States	76-77-74-75=302	+14	150
