Year	Total	Serbs	Hungarians	Germans	Romanians	Slovaks
1910	566,400	229,568 (40.5%)	108,622 (19.2%)	125,374 (22.1%)	73,303 (12.9%)	16,223 (2,9%)
1921	559,096	235,148 (42.1%)	98,463 (17.6%)	126,519 (22.6%)	66,433 (11,9%)	17,595 (3,2%)
1931	585,579	261,123 (44,6%)	95,867 (16,4%)	120,541 (20,6%)	62,365 (10,7%)	17,900 (2,1%)
1948	601,626	358,067 (59,6%)	110,446 (18,4%)	17,522 (2,9%)	55,678 (9,3%)	20,685 (2,4%)
1953	617,163	374,258 (60,6%)	112,683 (18,4%)	n/a	55,094 (8,9%)	21,299 (3,4%)
1961	655,868	423,837 (64,6%)	111,944 (17,1%)	n/a	54,447 (8,3%)	22,306 (3,4%)
1971	666,559	434,810 (65,2%)	103,090 (15.5%)	n/a	49,455 (7,4%)	22,173 (3,3%)
1981	672,884	424,765 (65,7%)	90,445 (14,0%)	n/a	43,474 (6,7%)	21,392 (3,3%)
1991	648,390	423,475 (65,1%)	76,153 (11.7%)	n/a	35,935 (5,5%)	19,903 (3.1%)
2002	665,397	477,890 (71.8%)	63,047 (9.5%)	908 (0,1%)	27,661 (4,1%)	17,994 (2,7%)
