Team	Titles	Runner-up	Third place	Fourth place	Years participated
Michigan	15	13	10	6	44
Michigan State	12	13	11	4	40
Michigan Tech	10	13	10	16	49
Western Michigan	2	1	0	1	4
North Dakota	2	1	0	1	4
Toronto	1	0	0	0	1
New Hampshire	1	0	1	0	2
Colorado College	1	1	0	1	3
Wisconsin	1	1	1	0	3
Boston College	1	0	3	0	4
Notre Dame	1	0	0	3	4
Boston University	1	0	4	0	5
Harvard	1	0	2	2	5
Maine	0	1	0	0	1
Ohio State	0	1	0	0	1
Rensselaer Polytechnic Institute	0	2	0	0	2
Lake Superior State	0	1	1	1	3
Northern Michigan	0	1	2	2	5
Colgate	0	0	1	0	1
Dartmouth	0	0	1	0	1
Providence	0	0	1	0	1
Brown	0	0	1	1	2
Cornell	0	0	0	1	1
Princeton	0	0	0	1	1
St Lawrence	0	0	0	1	1
Yale	0	0	0	1	1
Bowling Green	0	0	0	2	2
Pennsylvania	0	0	0	2	2
Western Ontario	0	0	0	2	2
