| Year | Film                                                     | Publisher                      | Director                 | Distributor                                 | Worldwide Gross                      | Notes                                                                                                                                 |
| 1951 | Superman and the Mole Men                                | DC Comics                      | Lee Sholem               | Lippert Pictures Inc.                       |                                      | Based on Adventures of Superman TV series                                                                                             |
| 1966 | Batman                                                   | DC Comics                      | Leslie H. Martinson      | 20th Century Fox                            | $1,700,000 (est. US/ Canada rentals) | Based on Batman TV series                                                                                                             |
| 1977 | Abar, the First Black Superman                           | Original                       | Frank Packard            | Mirror Releasing                            |                                      |                                                                                                                                       |
| 1978 | Superman                                                 | DC Comics                      | Richard Donner           | Warner Bros.                                | $300,218,018                         |                                                                                                                                       |
| 1978 | Dr. Strange                                              | Marvel Comics                  | Philip DeGuere           | MCA Home Video                              | Television film                      |                                                                                                                                       |
| 1978 | Kiss Meets the Phantom of the Park                       | Hanna-Barbera                  | Gordon Hessler           | NBC                                         | Television film                      | Based on the rock band Kiss                                                                                                           |
| 1980 | Superman II                                              | DC Comics                      | Richard Lester           | Warner Bros.                                | $108,185,706                         | Sequel to 1978's Superman                                                                                                             |
| 1980 | Hero at Large                                            | Original                       | Martin Davidson          | Metro-Goldwyn-Mayer                         | $15,934,737                          |                                                                                                                                       |
| 1981 | Condorman                                                | Original                       | Charles Jarrott          | Walt Disney Pictures                        | $287,434                             |                                                                                                                                       |
| 1982 | Swamp Thing                                              | DC Comics                      | Wes Craven               | Embassy Pictures                            | $287,434                             |                                                                                                                                       |
| 1983 | Superman III                                             | DC Comics                      | Richard Lester           | Warner Bros.                                | $70,656,090                          | Sequel to 1980's Superman II                                                                                                          |
| 1984 | Supergirl                                                | DC Comics                      | Jeannot Szwarc           | TriStar Pictures, Warner Bros.              | $14,296,438                          | Spin-off to 1978's Superman                                                                                                           |
| 1984 | The Toxic Avenger                                        | Original                       | Lloyd Kaufman            | Troma Entertainment,                        | $800,000                             |                                                                                                                                       |
| 1986 | Howard the Duck                                          | Marvel Comics                  | Willard Huyck            | Universal Pictures                          | $37,962,774                          |                                                                                                                                       |
| 1987 | Superman IV: The Quest for Peace                         | DC Comics                      | Sidney J. Furie          | Warner Bros.                                | $15,681,020                          | Sequel to 1983's Superman III                                                                                                         |
| 1989 | The Toxic Avenger Part II                                | Original                       | Lloyd Kaufman            | Troma Entertainment,                        | $792,966                             | Sequel to 1984's The Toxic Avenger                                                                                                    |
| 1989 | The Toxic Avenger Part III: The Last Temptation of Toxie | Original                       | Lloyd Kaufman            | Troma Entertainment,                        | $363,561                             | Sequel to 1989's The Toxic Avenger Part II                                                                                            |
| 1989 | Batman                                                   | DC Comics                      | Tim Burton               | Warner Bros.                                | $411,348,924                         |                                                                                                                                       |
| 1989 | The Return of Swamp Thing                                | DC Comics                      | Jim Wynorski             | Millimeter Films                            | $192,816                             | Sequel to 1982's Swamp Thing                                                                                                          |
| 1989 | The Punisher                                             | Marvel Comics                  | Mark Goldblatt           | Artisan Entertainment                       | $287,434                             | Direct-to-video in North America                                                                                                      |
| 1990 | Teenage Mutant Ninja Turtles                             | Mirage Comics                  | Steve Baron              | New Line Cinema                             | $201,965,915                         |                                                                                                                                       |
| 1990 | Darkman                                                  | Original                       | Sam Raimi                | Universal Studios                           | $48,878,502                          |                                                                                                                                       |
| 1990 | Captain America                                          | Marvel Comics                  | Albert Pyun              | 21st Century Film Corporation               | $675,437                             |                                                                                                                                       |
| 1991 | Teenage Mutant Ninja Turtles II: The Secret of the Ooze  | Mirage Comics                  | Michael Pressman         | New Line Cinema                             | $78,656,813                          | Sequel to 1990's Teenage Mutant Ninja Turtles                                                                                         |
| 1991 | The Guyver                                               | Chuang Yi Publishing           | Steve Wang               | New Line Cinema                             |                                      |                                                                                                                                       |
| 1991 | The Rocketeer                                            | Pacific Comics                 | Joe Johnston             | Walt Disney Pictures                        | $62,000,000                          |                                                                                                                                       |
| 1992 | Batman Returns                                           | DC Comics                      | Tim Burton               | Warner Bros.                                | $266,822,354                         | Sequel to 1989's Batman                                                                                                               |
| 1993 | Teenage Mutant Ninja Turtles III                         | Mirage Comics                  | Stuart Gillard           | New Line Cinema                             | $42,273,609                          | Sequel to 1991's Teenage Mutant Ninja Turtles II                                                                                      |
| 1993 | The Meteor Man                                           | Original                       | Robert Townsend          | Metro-Goldwyn-Mayer                         | $8,023,147                           |                                                                                                                                       |
| 1994 | The Fantastic Four                                       | Marvel Comics                  | Oley Sassone             | Constantin Film                             | Unreleased                           |                                                                                                                                       |
| 1994 | The Crow                                                 | Caliber Comics                 | Alex Proyas              | Miramax Films                               | $144,693,129                         |                                                                                                                                       |
| 1994 | Blankman                                                 | Original                       | Mike Binder              | Columbia Pictures                           | $7,941,977                           |                                                                                                                                       |
| 1994 | The Shadow                                               | Street and Smith Publications  | Russell Mulcahy          | Universal Studios                           | $48,063,435                          |                                                                                                                                       |
| 1994 | The Mask                                                 | Dark Horse Comics              | Chuck Russell            | New Line Cinema                             | $351,583,407                         |                                                                                                                                       |
| 1994 | Guyver: Dark Hero                                        | Chuang Yi Publishing           | Steve Wang               | New Line Cinema                             |                                      | Sequel to 1991's The Guyver                                                                                                           |
