"Outcome","No.","Date","Tournament","Surface","Opponent","Score"
"Runner-up","1.","25 October 2009","Kremlin Cup, Russia","Hard (i)","Mikhail Youzhny","7–6(7–5), 0–6, 4–6"
"Runner-up","2.","19 June 2010","UNICEF Open, Netherlands","Grass","Sergiy Stakhovsky","3–6, 0–6"
"Runner-up","3.","27 February 2011","International Tennis Championships, United States","Hard","Juan Martín del Potro","4–6, 4–6"
"Runner-up","4.","18 June 2011","Aegon International, United Kingdom","Grass","Andreas Seppi","6–7(5–7), 6–3, 3–5 ret."
"Winner","1.","2 October 2011","Malaysian Open, Malaysia","Hard (i)","Marcos Baghdatis","6–4, 7–5"
"Winner","2.","23 October 2011","Kremlin Cup, Russia","Hard (i)","Viktor Troicki","6–4, 6–2"
"Runner-up","5.","30 October 2011","St. Petersburg Open, Russia","Hard (i)","Marin Čilić","3–6, 6–3, 2–6"
"Runner-up","6.","8 January 2012","Chennai Open, India","Hard","Milos Raonic","7–6(7–4), 6–7(4–7), 6–7(4–7)"
"Winner","3.","15 July 2012","Stuttgart Open, Germany","Clay","Juan Mónaco","6–4, 5–7, 6–3"
"Runner-up","7.","22 July 2012","Swiss Open, Switzerland","Clay","Thomaz Bellucci","7–6(8–6), 4–6, 2–6"
"Winner","4.","6 January 2013","Chennai Open, India","Hard","Roberto Bautista-Agut","3–6, 6–1, 6–3"
