"Name","Type","Circle","Bench","Formed","Notes"
"Saarbrücken","County","","","c1120","999: 1st mention of castellum Sarabrucca
To Bishops of Metz
To Counts of the Lower Saargau
To Counts of the Ardennes
1353: Saarbrücken passed to the Walram line of the Counts of Nassau
1381-1793: To Counts of Nassau-Saarbrücken
1801-1815: To France
1815: To Prussia"
"Saarwerden and Lahr","County","","","",""
"Sagan","Duchy","","","",""
"St Blaise in the Black Forest","Abbacy","","","",""
"St Emmeram in Regensburg","RA","","","","830-975: United to Augsburg
1500: Bavarian Circle
1793: Council of Princes"
"St. Gall","RA","","","1207","1799: Annexed to Helvetic Republic"
"St Gall","1401: Imperial city","","","","1454: Associate of the Swiss Confederacy
1648: Left the Empire
1798: new Canton of Säntis in the Helvetic Republic
1803: Canton of St. Gallen"
"St. George in Isny","Abbacy","Swab","","","1793: Council of Princes"
"St. Hubert","Abbacy","","","",""
"St. John's Abbey in the Thurtal","HRE Abbey","","","",""
"St. Kornelimünster","Abbacy","Low Rhen","","","1793: Council of Princes"
"St. Maximin (Trier)","HRE Abbey","","","",""
"St. Peter","Jurisdiction","","","",""
"Abbey of Saint Peter in the Black Forest","Abbacy","","","",""
"St. Ulrich and St. Afra in Augsburg","Abbacy","","","","1793: Council of Princes"
"Salem","RA","","","",""
"Salm","1019: County
1623: HRE Principality","n/a","n/a","1019","Partitioned from Saarbrücken
1170: Partitioned into Lower Salm (line of Lords of Reifferscheid) and Upper Salm (line of \"Wild- und Rheingrafen\" or \"Forest and Rhine Counts\")
1639: Salm-Reifferscheid-Dyck separated from Lower Salm
1651: Upper Salm divided into Salm and Salm-Grumbach
1654: HRE Council of Princes
1676: Salm divided into Salm-Salm and Salm-Kyrburg
1734: Lower Salm divided into Salm-Reifferscheid-Bedbur and Salm-Reifferscheid-Raitz"
"Salm-Badenweiler","County","Upp Rhen","","1431","Partitioned from Upper Salm
1520: Partitioned into itself and Salm-Neuburg
1600: Annexed to Lorraine1608: Recreated
1670: Annexed to France"
"Salm-Blankenburg","County","n/a","n/a","1246","Partitioned from Upper Salm
1506: Annexed to Lorraine"
