Year	Film	Role	Language	Notes
2004	Kyun! Ho Gaya Na...	Diya's sister	Hindi	
2007	Lakshmi Kalyanam	Lakshmi	Telugu	
2007	Chandamama	Mahalakshmi	Telugu	
2008	Pourudu	Samyukhta	Telugu	
2008	Pazhani	Deepti	Tamil	
2008	Aatadista	Sunnanda	Telugu	
2008	Saroja	Pooja	Tamil	Cameo appearance
2008	Bommalattam	Anitha	Tamil	
2009	Modhi Vilayadu	Easwari Lakshmiram	Tamil	
2009	Magadheera	Yuvarani Mithravindha Devi\nIndira (Indu)	Telugu	Dual role\nNominated- Filmfare Award for Best Actress – Telugu
2009	Ganesh Just Ganesh	Divya	Telugu	
2009	Arya 2	Geethanjali	Telugu	
2010	Om Shanti	Meghana	Telugu	
2010	Darling	Nandini	Telugu	Nominated- Filmfare Award for Best Actress – Telugu
2010	Naan Mahaan Alla	Priya Sudharsan	Tamil	
2010	Brindaavanam	Bhoomi	Telugu	CineMAA Award for Best Actress (Telugu)
2011	Mr. Perfect	Priya	Telugu	Nominated- Filmfare Award for Best Actress – Telugu
2011	Veera	Chitti	Telugu	
2011	Singham	Kavya Bhosle	Hindi	Nominated- Filmfare Award for Best Female Debut
2011	Dhada	Rhea	Telugu	
2012	Businessman	Chitra	Telugu	
2012	Maattrraan	Anjali	Tamil	
2012	Thuppakki	Nisha	Tamil	CineMAA Award for Best Actress (Tamil)
2012	Sarocharu	Sandhya	Telugu	
2013	Naayak	Madhu	Telugu	
2013	Special 26	Priya Chauhan	Hindi	
2013	Baadshah	Janaki	Telugu	
2013	All in All Azhagu Raja	Chitra Devi Priya	Tamil	
2014	Jilla	Shanthi	Tamil	
2014	Yevadu	Deepthi	Telugu	Special appearance
2014	Govindudu Andarivadele		Telugu	Filming
2014	'Untitled Balaji Mohan project		Tamil	Pre-production
