Team 1	Agg.	Team 2	1st leg	2nd leg
Real Unión	(a) 6–6	Real Madrid	3–2	3–4
Portugalete	1–7	Valencia	1–4	0–3
Ponferradina	1–4	Sevilla	1–0	0–4
Orihuela	0–1	Atlético	0–1	0–0
Poli Ejido	6–1	Villarreal	5–0	1–1
Hércules	3–7	Valladolid	1–5	2–2
Rayo Vallecano	1–5	Almería	1–2	0–3
Celta	2–5	Espanyol	2–2	0–3
Castellón	0–4	Betis	0–2	0–2
Real Murcia	2–3	Racing	2–1	0–2
Málaga	1–3	Mallorca	1–1	0–2
Athletic	3–2	Recreativo	2–0	1–2
Getafe	0–1	Osasuna	0–0	0–1
Benidorm	0–2	Barcelona	0–1	0–1
Elche	0–4	Deportivo	0–2	0–2
Numancia	0–3	Sporting	0–1	0–2
