Year	Place	Gold	Silver	Bronze
1970	Phoenix	United States of America\nSally Carroll\nLucile Chambliss\nBarbara Hile	Soviet Union\nNadezda Ibragimova\nNina Rasskazova\nNina Stoliarova	Federal Republic of Germany\nOrtrud Feickert\nKarin Fitzner\nRuth Kasten
1974	Thun	Soviet Union\nGalina Zarikova\nZinaida Simonian\nNina Stoliarova	Czechoslovakia\nTereza Bohinska\nBedriska Hykova\nKatarina Pastorova	Australia\nJudith Harrison\nEnid Newton\nGloria Vause
1978	Seoul	Denmark\nKirsten Broge\nBonnie Bruun\nAase Havsteen	Australia\nJulie Aitken\nPatricia Dench\nLynne Uden	United States of America\nSally Carroll\nKimberly Dyer\nRuby Fox
1982	Caracas	Soviet Union\nMarina Dobrantcheva\nInna Rose\nAuksne Treinite	Hungary\nPalma Balogh\nMarta Kotroczo\nGabriella Kanyai	People's Republic of China\nJianmin Gao\nZhifang Wen\nCui Qing Yang
1986	Suhl	Soviet Union\nMarina Dobrantcheva\nIrina Kotcherova\nNino Salukvadze	France\nMartine Guepin\nEvelyne Manchon\nCorine Serra-Tosio	Albania\nDiana Mata\nEmanuela Delilaj\nEdlira Shyti
1990	Moscow	Soviet Union\nYauheniya Haluza\nMarina Logvinenko\nNino Salukvadze	Sweden\nKerstin Bodin\nBritt Marie Ellis\nChris Kajd	People's Republic of China\nHaiying Liu\nDuihong Li\nMeifang Qian
1994	Milan	People's Republic of China\nXiaoping Fan\nDuihong Li\nLina Wang	Korea\nSoon Hee Boo\nSun Bok Lee\nJung Hee Park	Belarus\nZhanna Shitik\nYauheniya Haluza\nYuliya Siniak
1998	Barcelona	People's Republic of China\nYeqing Cai\nLuna Tao\nYi Sun	Korea\nEun Kyung Shin\nSoon Hee Boo\nJoo Hyung Seo	Mongolia\nMunkhbayar Dorjsuren\nOyun Davaajantsan\nGundegmaa Otryad
2002	Lahti	People's Republic of China\nLuna Tao\nYing Chen\nDuihong Li	Russia\nIrina Dolgatcheva\nGalina Beliaeva\nSvetlana Smirnova	United States of America\nElizabeth Callahan\nRebecca Snyder\nSandra Uptagrafft
2006	Zagreb	People's Republic of China\nYing Chen\nFengji Fei\nDuihong Li	Belarus\nLiudmila Chabatar\nZhanna Shapialevich\nYauheniya Haluza	Germany\nMunkhbayar Dorjsuren\nStefanie Thurmann\nClaudia Verdicchio
2010	Munich	Russia\nYulia Alipova\nKira Klimova\nGalina Beliaeva	Serbia\nZorana Arunovic\nJasna Sekaric\nJelena Arunovic	Czech Republic\nLenka Maruskova\nMichaela Musilova\nPetra Hykova
2014	Granada	TBD	TBD	TBD
2018	Changwon	TBD	TBD	TBD
