"Tournament","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","SR","W–L"
"Australian Open","A","A","1R","A","2R","3R","2R","3R","W","2R","1R","2R","1R","1 / 10","13–9"
"French Open","A","A","A","A","3R","A","2R","3R","3R","1R","SF","1R","2R","0 / 8","12–8"
"Wimbledon","A","2R","A","SF","1R","3R","3R","2R","QF","3R","3R","1R","2R","0 / 11","17–11"
"US Open","A","1R","A","1R","1R","QF","3R","3R","2R","SF","1R","2R","2R","0 / 11","14–11"
"Win–Loss","0–0","1–2","0–1","4–2","3–4","5–3","6–4","7–4","12–3","7–4","6–4","2–4","3–4","1 / 40","56–39"
"Indian Wells","A","A","A","A","2R","2R","1R","F","W","F","QF","2R","","1 / 8","17–7"
"Miami","A","A","A","A","2R","QF","SF","1R","1R","W","1R","QF","","1 / 8","13–7"
"Monte Carlo","A","A","A","A","2R","A","2R","2R","QF","QF","1R","1R","","0 / 7","2–7"
"Rome","A","A","A","A","1R","1R","F","2R","2R","QF","1R","A","","0 / 7","4–7"
"Madrid (Stuttgart)","A","A","A","A","1R","1R","QF","1R","1R","2R","QF","1R","","0 / 8","3–8"
"Canada","A","A","A","A","QF","F","2R","SF","2R","F","2R","A","","0 / 7","10–7"
"Cincinnati","A","A","A","A","QF","1R","SF","W","F","2R","QF","A","","1 / 7","13–6"
"Shanghai","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","2R","1R","A","","0 / 2","1–2"
"Paris","A","A","A","A","A","QF","1R","1R","QF","2R","F","1R","","0 / 7","6–7"
"Hamburg","A","A","A","A","1R","1R","QF","SF","2R","NM1","NM1","NM1","NM1","0 / 5","3–5"
"Win–Loss","0–0","0–0","0–0","0–0","6–8","8–8","10–9","12–8","10–8","15–8","8–9","3–5","","3 / 66","66–63"
"Year End Ranking","178","103","494","31","32","15","13","18","5","9","23","51","","",""
