Election year	# of\nconstituency votes	% of\nconstituency votes	+/–	# of\nparty list votes	% of\nparty list votes	+/–	# of\noverall seats won
1965	587,216	1.8	1.8	664,193	2.0	2.0	0 / 518
1969	1,189,375	3.6	1.8	1,422,010	4.3	2.3	0 / 518
1972	194,389	0.5	3.1	207,465	0.6	3.7	0 / 518
1976	136.023	0.4	0.1	122,661	0.3	0.3	0 / 518
1980				68,096	0.2	0.1	0 / 497
1983	57,112	0.1	0.3	91,095	0.2	0	0 / 498
1987	182,880	0.5	0.4	227,054	0.6	0.4	0 / 497
1990	190,105	0.4	0.1	145,776	0.3	0.3	0 / 662
1998	45,043	0.1	0.3	126,571	0.3	0	0 / 669
2002	103,209	0.1	0.1	215,232	0.4	0.1	0 / 603
2005	857.777	1.8	1.6	748,568	1.6	1.2	0 / 614
2009	768,442	1.8	0	635,525	1.5	0.1	0 / 620
2013	634,842	1.5	0.3	560,660	1.3	0.2	0 / 630
