"Year","Driver","Co-driver","Car","Notes"
"1996","Karim Hirji","Frank Nekusa","Toyota Celica ST 185","Run under FIA rules as the Great Lakes Rally, jointly with Club Automobile du Burundi"
"1997","Chipper Adams","Justin Beyendeza","Toyota Supra","Run as the Pearl of Africa Uganda Rally - ARC Candidate event"
"1998","Charles Muhangi","Steven Byaruhanga","Subaru Impreza",""
"1999","Chipper Adams","Justin Beyendeza","Toyota Supra",""
"2000","Charlie Lubega","Abed Musa","Mitsubishi Lancer Evo 4",""
"2001","-","-","-","Event not run"
"2002","Johnny Gemmel","Robert Paisley","Subaru Impreza WRX",""
"2003","Charlie Lubega","Abed Musa","Mitsubishi Lancer Evo 4",""
"2004","Charlie Lubega","Abed Musa","Mitsubishi Lancer Evo 4",""
"2005","Riyaz Kurji","Sayed Kadri","Subaru Impreza N10",""
"2006","Riyaz Kurji","Sayed Kadri","Subaru Impreza N8","Crew run under Kenyan Licence"
"2007","Conrad Rautenbach","Peter Marsh","Subaru Impreza N10",""
"2008","Jamie Whyte","Phil Archenoul","Subaru Impreza N10",""
"2009","Riyaz Kurji","Sayed Kadri","Subaru Impreza N8","Price granted posthumously"
"2010","Jamie Whyte","Phil Archenoul","Subaru Impreza N10",""
"2011","Ponsiano Lwakataka","Musa Nsubuga","Subaru Impreza N8",""
"2012","Mohammed Essa","Greg Stead","Subaru Impreza N12",""
"2013","Jas Mangat","Gihan de Silva","Mitsubishi Lancer Evo X",""
