	Name on the Register	Date listed	Location	City or town	Summary
1	Back River Farm	June 22, 1984\n(#84003236)	Bay View Rd.\n43°08′21″N 70°51′16″W﻿ / ﻿43.139167°N 70.854444°W	Dover	
2	Canaan Chapel	March 11, 1982\n(#82001877)	Canaan Rd.\n43°12′09″N 71°06′04″W﻿ / ﻿43.2025°N 71.101111°W	Barrington	
3	County Farm Bridge	May 21, 1975\n(#75000237)	Northwest of Dover on County Farm Rd.\n43°13′14″N 70°56′38″W﻿ / ﻿43.220556°N 70.943889°W	Dover	Over Cocheco River
4	Durham Historic District	May 31, 1980\n(#80000308)	Main St. and Newmarket Rd.\n43°07′47″N 70°55′10″W﻿ / ﻿43.129722°N 70.919444°W	Durham	
5	Farmington Town Pound	September 2, 1993\n(#93000884)	Northwestern side of Pound Rd. 300 ft (91 m) north of the junction of Ten Rod Rd.\n43°21′33″N 71°04′49″W﻿ / ﻿43.359167°N 71.080278°W	Farmington	
6	First Parish Church	March 11, 1982\n(#82001696)	218 Central Ave.\n43°10′56″N 70°52′27″W﻿ / ﻿43.182222°N 70.874167°W	Dover	
7	First Parish Church Site-Dover Point	May 27, 1983\n(#83001153)	Dover Point Rd.\n43°08′26″N 70°50′21″W﻿ / ﻿43.140556°N 70.839167°W	Dover	
8	Free Will Baptist Church	November 13, 1980\n(#80000310)	Ridge Top Road\n43°23′59″N 71°09′33″W﻿ / ﻿43.399722°N 71.159167°W	New Durham	
9	Garrison Hill Park and Tower	September 11, 1987\n(#87001413)	Abbie Sawyer Memorial Dr.\n43°12′34″N 70°52′13″W﻿ / ﻿43.209444°N 70.870278°W	Dover	
10	Green Street School	March 7, 1985\n(#85000481)	104 Green St.\n43°15′23″N 70°51′50″W﻿ / ﻿43.256389°N 70.863889°W	Somersworth	
11	William Hale House	November 18, 1980\n(#80000309)	5 Hale St.\n43°11′36″N 70°52′29″W﻿ / ﻿43.193376°N 70.874858°W	Dover	
12	Richard Hayes House	February 27, 1986\n(#86000283)	184 Gonic Rd.\n43°15′38″N 70°58′44″W﻿ / ﻿43.260556°N 70.978889°W	Rochester	
13	Jenness Farm	March 2, 2001\n(#01000206)	626 Pickering Rd.\n43°14′36″N 70°56′12″W﻿ / ﻿43.243333°N 70.936667°W	Rochester	
14	Lehoullier Building	December 26, 1979\n(#79000211)	161-169 Main St.\n43°15′31″N 70°51′46″W﻿ / ﻿43.258611°N 70.862778°W	Somersworth	
15	Milton Town House	November 26, 1980\n(#80000311)	NH 125 and Town House Rd.\n43°26′27″N 70°59′05″W﻿ / ﻿43.440833°N 70.984722°W	Milton	
16	New Durham Meetinghouse and Pound	December 8, 1980\n(#80000312)	Old Bay Rd.\n43°25′25″N 71°07′42″W﻿ / ﻿43.423611°N 71.128333°W	New Durham	
17	New Durham Town Hall	November 13, 1980\n(#80000313)	Main St. and Ridge Rd.\n43°26′02″N 71°09′55″W﻿ / ﻿43.433889°N 71.165278°W	New Durham	
18	Plumer-Jones Farm	March 23, 1979\n(#79000212)	North of Milton on NH 125\n43°27′44″N 70°59′37″W﻿ / ﻿43.462222°N 70.993611°W	Milton	
19	Plummer Homestead	June 14, 2002\n(#02000638)	1273 White Mountain Highway\n43°27′35″N 70°59′33″W﻿ / ﻿43.459722°N 70.9925°W	Milton	
20	Public Market	March 7, 1985\n(#85000541)	93 Washington St.\n43°11′43″N 70°52′31″W﻿ / ﻿43.195278°N 70.875278°W	Dover	
21	Queensbury Mill	April 10, 1987\n(#86003362)	1 Market St.\n43°15′54″N 70°51′58″W﻿ / ﻿43.265°N 70.866111°W	Somersworth	
22	Michael Reade House	February 12, 1980\n(#80000314)	43 Main St.\n43°11′50″N 70°52′21″W﻿ / ﻿43.197222°N 70.8725°W	Dover	
23	Religious Society of Friends Meetinghouse	February 29, 1980\n(#80000421)	141 Central Ave.\n43°11′12″N 70°52′25″W﻿ / ﻿43.186667°N 70.873611°W	Dover	
24	Rochester Commercial and Industrial District	April 8, 1983\n(#83001154)	N. Main, Wakefield, Hanson, and S. Main Sts. and Central Square\n43°18′11″N 70°58′34″W﻿ / ﻿43.303056°N 70.976111°W	Rochester	
25	Rollinsford Town Hall	March 5, 1999\n(#99000268)	667 Main St.\n43°14′08″N 70°49′17″W﻿ / ﻿43.235556°N 70.821389°W	Rollinsford	
26	St. Thomas Episcopal Church	June 7, 1984\n(#84003241)	5 Hale St.\n43°11′37″N 70°52′30″W﻿ / ﻿43.193611°N 70.875°W	Dover	
27	Salmon Falls Mill Historic District	February 29, 1980\n(#80000315)	Front St.\n43°14′10″N 70°49′05″W﻿ / ﻿43.236111°N 70.818056°W	Rollinsford	
28	Sawyer Building	May 23, 1980\n(#80000316)	4-6 Portland St.\n43°11′48″N 70°52′21″W﻿ / ﻿43.196667°N 70.8725°W	Dover	
29	Sawyer Woolen Mills	September 13, 1989\n(#89001208)	1 Mill St.\n43°10′44″N 70°52′35″W﻿ / ﻿43.178889°N 70.876389°W	Dover	
30	Smith Chapel	February 13, 2013\n(#13000009)	45 Mill Pond Rd.\n43°07′42″N 70°55′27″W﻿ / ﻿43.128355°N 70.924292°W	Durham	
31	Strafford County Farm	February 25, 1981\n(#81000100)	County Farm Rd.\n43°13′03″N 70°56′31″W﻿ / ﻿43.2175°N 70.941944°W	Dover	
32	Strafford Union Academy	September 22, 1983\n(#83001155)	NH 126 and NH 202A\n43°16′07″N 71°07′23″W﻿ / ﻿43.268611°N 71.123056°W	Strafford	
33	Gen. John Sullivan House	November 28, 1972\n(#72000089)	23 Newmarket Rd.\n43°07′48″N 70°55′05″W﻿ / ﻿43.13°N 70.918056°W	Durham	Home of American Revolutionary War General John Sullivan, elected President of New Hampshire.
34	Thompson Hall	December 6, 1996\n(#96001468)	Off Main St., University of New Hampshire campus\n43°08′09″N 70°55′59″W﻿ / ﻿43.135833°N 70.933056°W	Durham	
35	US Post Office-Dover Main	July 17, 1986\n(#86002273)	133-137 Washington St.\n43°11′42″N 70°52′39″W﻿ / ﻿43.195°N 70.8775°W	Dover	
36	US Post Office-Somersworth Main	July 17, 1986\n(#86002246)	2 Elm St.\n43°15′33″N 70°52′18″W﻿ / ﻿43.259167°N 70.871667°W	Somersworth	
37	Wiswall Falls Mills Site	March 18, 1988\n(#88000184)	John Hatch Park\nSouth of Wiswall Road just east of the Lamprey River\n43°06′15″N 70°57′44″W﻿ / ﻿43.1043°N 70.9621°W	Durham	
38	Woodbury Mill	March 25, 2013\n(#13000156)	1 Dover St.\n43°12′07″N 70°52′29″W﻿ / ﻿43.201985°N 70.874587°W	Dover	
