"","Date of Award","Honour/Award Title","Reason for Award","Awarding Body"
"1","1973","Lenin Peace Prize","","USSR"
"2","1980","Frederic Joliot Curie Gold Medal","",""
"3","1984","Medaglia Pontificia (Pope's Medal) Anno VI","","The Vatican City,Italy"
"4","1988","Grant Master Order Merit: The Grant Cruz (Highest Order)","","Brazil"
"5","1988","Ho Chi Minh Peace Award","","Vietnam"
"6","1988","The Namibia Freedom Award","For his leadership role in the struggle against apartheid","California State University, USA"
"7","1988","Honorary Citizenship of the City of Atlanta","For his leadership role in the struggle for freedom, national independence and social justice","Atlanta, USA"
"8","1988","Recognition granted","","City and County of San Francisco"
"9","1988","Recognition granted","","City of Chicago"
"10","1988","Recognition granted","","City of East Palo Alto"
"11","1990","Indira Gandhi Peace Prize for Disarmament and Development","In recognition of his outstanding contribution in leading the people of Namibia to freedom","India"
"12","1991","Medaglia Pontificia (Pope's Medal) Anno XIII","","The Vatican City, Italy"
"13","1991","Order of José Marti","","Cuba"
"14","1991","Ordre du Merite Congo","","Republic of Congo"
"15","1992","Chief of Golden Heart","","Kenya"
"16","1992","Order of the National Flag (First Class)","","Democratic People's Republic of Korea"
"17","1994","\"Grand Cordon\" Decoration","","Tunisia"
"18","1995","Grand Master of the Order of Welwitschia","","Namibia"
"19","1995","Order of Liberty (Highest Cross)","","Portugal"
"20","1995","Africa Prize for Leadership for the Sustainable End of Hunger","","The Hunger Project"
"21","1996","Order of Good Hope (Gold)","","South Africa"
"22","2002","Order of Friendship Award","","Vietnam"
"23","2003","O.B.F.F.S.","","Romania"
"24","2003","Fellowship Award of the Institute of Governance and Social Research","In recognition of his contribution to the liberation of his country, the establishment of Democratic foundation, peace and Political stability in Namibia, and the enhancement of the dignity of the Black Man","Institute of Governance and Social Research, Nigeria"
"25","2004","Companion of the Order of the Star of Ghana (Ghana National Highest Award)","As an expression of respect and admiration of the Government and people of Ghana","Ghana"
"26","2004","Founding President of the Republic of Namibia and Father of the Namibian Nation","In recognition of his dedication to his selfless sacrifice to the national liberation struggle and nation building","Namibian Parliament"
"27","2004","Lifetime Conservation Award","","Cheetah Conservation Fund (Nujoma is the international patron of this organisation since 1991)"
"28","2008","International KIM IL Sung Prize Certificate","","India"
"29","2010","Sir Seretse Khama SADC Meda","","SADC"
