Outcome	No.	Date	Tournament	Surface	Opponent in the final	Score
Runner–up	1.	2 September 2001	Mostar	Clay	Adriana Basaric	4–6, 3–6
Winner	1.	27 January 2002	Courmayeur	Hard	Stefanie Weis	4–6, 7–6(7–3), 6–4
Winner	2.	17 February 2002	Bergamo	Hard	Rita Degli-Esposti	6–1, 6–2
Runner–up	2.	31 March 2002	Rome – Parioli	Clay	Dinara Safina	7–6(7–3), 2–6, 3–6
Runner–up	3.	23 June 2002	Gorizia	Clay	Ainhoa Goni-Blanco	6–7(4–7), 1–6
Runner–up	4.	11 August 2002	Rimini	Clay	Laurence Andretto	5–7, 4–6
Winner	3.	26 January 2003	Grenoble	Hard	Sophie Lefèvre	7–5, 7–5
Winner	4.	16 February 2003	Southampton	Hard	Magdalena Zděnovcová	6–1, 3–0, ret.
Winner	5.	23 February 2003	Redbridge	Hard	Olga Barabanschikova	6–3, 6–2
Winner	6.	23 March 2003	Castellon	Clay	Ľudmila Cervanová	6–3, 6–3
Winner	7.	2 November 2003	Poitiers	Hard	Roberta Vinci	6–4, 7–5
Winner	8.	1 March 2009	Biberach	Hard	Kirsten Flipkens	6–1, 6–2
Winner	9.	11 April 2009	Torhout	Hard	Viktoriya Kutuzova	6–1, 6–4
Winner	10.	11 April 2009	Mestre	Hard	Yvonne Meusburger	2–6, 6–2, 6–4
