Rank	City	Passengers	Ranking	Airline
1	Quintana Roo, Cancún	132,046		Aeroméxico Connect, Interjet, Volaris
2	Nuevo León, Monterrey	106,513		Aeroméxico Connect, Interjet
3	Guerrero, Acapulco	56,069		Aeroméxico Connect, Interjet
4	Jalisco, Guadalajara	52,584		Aeroméxico Connect, Volaris
5	Jalisco, Puerto Vallarta	43,419	1	Interjet
6	Baja California Sur, Los Cabos	37,526	1	Interjet
7	Guerrero, Ixtapa/Zihuatanejo	35,507		Interjet
8	Baja California, Tijuana	14,906		Interjet
9	Tabasco, Villahermosa	6,928	1	VivaAerobus
10	Tamaulipas, Tampico	3,619	1	VivaAerobus
