"Year","Competition","Venue","Position","Event"
"1997","World Indoor Championships","Paris, France","5th","60 m hurdles"
"1997","USA Outdoor Championships","Indianapolis, United States","1st","100 m hurdles"
"1998","Grand Prix Final","Moscow, Russia","2nd","100 m hurdles"
"1998","USA Indoor Championships","","1st","60 m hurdles"
"1999","World Indoor Championships","Maebashi, Japan","6th","60 m hurdles"
"2000","Olympic Games","Sydney, Australia","3rd","100 m hurdles"
"2000","Grand Prix Final","Doha, Qatar","4th","100 m hurdles"
"2002","Grand Prix Final","Paris, France","7th","100 m hurdles"
"2002","USA Indoor Championships","","1st","60 m hurdles"
"2003","World Indoor Championships","Birmingham, England","3rd","60 m hurdles"
"2003","World Athletics Final","Monaco","6th","100 m hurdles"
"2004","Olympic Games","Athens, Greece","3rd","100 m hurdles"
