Kilometers	Name	Location	Intersecting routes
0	Netanya mall	Netanya	Petah Tikva Street, Raziel Road, Herzl Road
0.6	Netanya interchange	Netanya	Highway 2
0.75	HaRakevet Road	Netanya	Entrance to Netanya Railway Station
1.45	Pinkas Street	Netanya	Pinkas Street
2.2	Deganya Road	Netanya	Deganya Road
2.8	Beit Yitzhak	Beit Yitzhak	HaSharon Road
3.8	Ganot Hadar	Ganot Hadar	Entrance to Ganot Hadar and Nordiya
4.3	HaSharon Junction ("Beit Lid")	Ganot Hadar	Highway 4
6.2	Rabin Boulevard	Kfar Yona	Entrance to Kfar Yona
7.3	Begin Boulevard	Kfar Yona	Entrance to Kfar Yona
7.7	Ha'Atzmaut Street	Haniel	Entrance to Haniel
9.3	Yanuv junction	Yanuv	Route 5613, entrance to Yanuv
10	HaErez Way	Tnuvot industrial zone	Entrance to Tnuvot and Burgata
12	Be'erotayim junction	Hagor	Entrance to Be'erotayim and Olesh,\nRoute 5614 toward Qalansawe
13.2	Nitzanei Oz junction	Nitzanei Oz	Route 5714, entrance to Nitzanei Oz and Yad Hana
14.5	Nitzanei Oz interchange	Nitzanei Oz	Highway 6
15	IDF checkpoint	Tulkarm	Entrance to Nitzanei Shalom industrial zone
