"Pos.","Div.","No.","Team","Drivers","Car","Laps","Qual.
Pos."
"1","1","11","Perkins Engineering","Larry Perkins
 Tomas Mezera","Holden VL Commodore SS Group A SV","125","2"
"2","1","35","Peter Jackson Racing","Glenn Seton
 Colin Bond","Ford Sierra RS500","125","4"
"3","1","05","Mobil 1 Racing","Peter Brock
 Andrew Miedecke","Ford Sierra RS500","124","6"
"4","1","20","Benson & Hedges Racing","Gary Brabham
 David Brabham","Ford Sierra RS500","123","7"
"5","1","30","Peter Jackson Racing","George Fury
 Drew Price","Ford Sierra RS500","123","9"
"6","1","25","Benson & Hedges Racing","Tony Longhurst
 Alan Jones","Ford Sierra RS500","123","3"
"7","1","28","Playscape Racing","Kevin Waldock
 Andrew Bagnall","Ford Sierra RS500","123","12"
"8","1","33","Pro-Duct Motorsport","Bob Pearson
 Bruce Stewart","Holden VL Commodore SS Group A SV","122","16"
"9","1","4","Lansvale Racing Team","Steve Reed
 Trevor Ashby","Holden VL Commodore SS Group A SV","122","11"
"10","1","6","Mobil 1 Racing","Charlie O'Brien
 David Parsons","Ford Sierra RS500","121","10"
"11","1","12","Ray Lintott","Ray Lintott
 Terry Shiel","Ford Sierra RS500","121","13"
"12","1","26","Garry Rogers Motorsport","Garry Rogers
 Paul Fordham","Holden VL Commodore SS Group A SV","121","14"
"13","1","27","Terry Finnigan","Terry Finnigan
 Geoff Leeds","Holden VL Commodore SS Group A SV","120","15"
"14","1","42","Lusty Engineering","John Lusty
 Bernie Stack","Holden VL Commodore SS Group A SV","119","20"
"15","2","51","Phil Ward Racing","Phil Ward
 John Goss","Mercedes-Benz 190E 2.3-16","118","23"
"16","2","54","Bryce Racing","Brett Riley
 Craig Baird","BMW M3","117","26"
"17","1","2","Alf Grant","Alf Grant
 Tim Grant","Nissan Skyline HR31 GTS-R","117","24"
"18","1","45","Lester Smerdon","Lester Smerdon
 Graham Jonsson","Holden VL Commodore SS Group A SV","116","25"
"19","3","71","Toyota Dealer Team","John Faulkner
 John Smith
 Neal Bates","Toyota Corolla FX-GT","115","28"
"20","2","53","Brian Bolwell Racing","Brian Bolwell
 Mike Twigden","BMW 323i","111","29"
"21","3","78","Phoenix Motorsport","Geoff Full
 David Ratcliff","Toyota Sprinter","111","30"
"22","1","32","Hersonne Engineering","Laurie Donaher
 Marc Ducquet","Holden VL Commodore SS Group A","109","34"
"23","3","76","Peter Verheyen","Peter Verheyen
 John Vernon","Toyota Sprinter","109","36"
"24","3","72","David Sala","David Sala
 Richard Vorst","Toyota Corolla","106","32"
"DNF","1","17","Shell Ultra Hi Racing","Dick Johnson
 John Bowe","Ford Sierra RS500","123","5"
"DNF","2","52","M3 Motorsport","Peter Doulman
 John Cotter","BMW M3","109","22"
"DNF","3","75","Bob Holden Motors","Dennis Rogers
 Garry Jones","Toyota Corolla","75","31"
"DNF","1","21","Bob Forbes Motorsport","Mark Gibbs
 Rohan Onslow","Holden VL Commodore SS Group A SV","64","8"
"DNF","1","19","Caltex CXT Racing","Ken Mathews
 John Mathews","Ford Sierra RS500","64","27"
"DNF","1","22","Lusty Engineering","Graham Lusty
 Ken Lusty","Holden VL Commodore SS Group A SV","52","21"
"DNF","1","1","Nissan Motorsport Australia","Jim Richards
 Mark Skaife","Nissan Skyline R32 GT-R","51","1"
"DNF","1","29","Wayne Park","Wayne Park
 John English","Holden VL Commodore SS Group A SV","49","19"
"DNF","3","74","Bob Holden Motors","Phil Alexander
 Keith McCulloch","Toyota Corolla","44","33"
"DNF","1","46","Garry Willmington Performance","Garry Willmington
 John Bourke","Toyota Supra Turbo","24","18"
"DNF","1","23","Chris Lambden","Chris Lambden
 Des Wall","Nissan Skyline HR31 GTS-R","18","17"
"DNF","3","73","Bob Holden Motors","Bob Holden
 Mike Conway","Toyota Sprinter","8","35"
