| Name                                | Date time (UT)                | Local time zone | Location                                                              | Elevation + height                           | Delivery           | Purpose             | Yield           | Venting                               | Notes                                                                                   |
| Diamond Sculls                      | 20 July 1972 17:00:16.16      | PST (-8 hrs)    | NTS Area U12t.02 37°12′52″N 116°11′02″W﻿ / ﻿37.21439°N 116.18382°W    | 2,113 m (6,932 ft) - 419.4 m (1,376 ft)      | underground tunnel | weapon effect       | 21 kt           |                                       |                                                                                         |
| Atarque                             | 25 July 1972 13:00:30.06      | PST (-8 hrs)    | NTS Area U3ht 37°00′45″N 116°00′57″W﻿ / ﻿37.01247°N 116.01577°W       | 1,182 m (3,878 ft) - 294.2 m (965 ft)        | underground shaft  | weapons development | 1.5 kt          | Venting detected                      |                                                                                         |
| Cebolla - 1 (with Cuchillo,Solano)  | 9 August 1972 13:03:11.04     | PST (-8 hrs)    | NTS Area U3jc 37°00′26″N 116°01′11″W﻿ / ﻿37.00717°N 116.01976°W       | 1,180 m (3,870 ft) - 287 m (942 ft)          | underground shaft  | weapons development | less than 5 kt  | Venting detected                      | Simultaneous, separate holes.                                                           |
| Cuchillo - 2 (with Cebolla, Solano) | 9 August 1972 13:03:11.04     | PST (-8 hrs)    | NTS Area U3jt 37°00′13″N 116°01′11″W﻿ / ﻿37.00373°N 116.01982°W       | 1,179 m (3,868 ft) - 198.81 m (652.3 ft)     | underground shaft  | weapons development | less than 5 kt  |                                       | Simultaneous, separate holes.                                                           |
| Solano - 3 (with Cebolla,Cuchillo   | 9 August 1972 13:03:11.04     | PST (-8 hrs)    | NTS Area U3jx 37°00′11″N 116°01′03″W﻿ / ﻿37.00315°N 116.01757°W       | 1,179 m (3,868 ft) +                         | underground shaft  | safety experiment   | less than 5 kt  |                                       | Simultaneous, separate holes.                                                           |
| Oscuro                              | 21 September 1972 15:00:30.19 | PST (-8 hrs)    | NTS Area U7z 37°04′55″N 116°02′15″W﻿ / ﻿37.08201°N 116.03742°W        | 1,225 m (4,019 ft) - 560.21 m (1,838.0 ft)   | underground shaft  | weapons development | 160 kt          |                                       |                                                                                         |
| Delphinium                          | 26 September 1972 14:00:30.16 | PST (-8 hrs)    | NTS Area U2dp 37°07′17″N 116°05′12″W﻿ / ﻿37.12135°N 116.08667°W       | 1,276 m (4,186 ft) - 295.66 m (970.0 ft)     | underground shaft  | weapons development | 15 kt           |                                       |                                                                                         |
| Akbar                               | 9 November 1972 15:00:15.16   | PST (-8 hrs)    | NTS Area U10ax 37°09′43″N 116°02′03″W﻿ / ﻿37.16202°N 116.03405°W      | 1,295 m (4,249 ft) - 267 m (876 ft)          | underground shaft  | weapons development | 600 t           |                                       |                                                                                         |
| Arsenate                            | 9 November 1972 18:00:15.16   | PST (-8 hrs)    | NTS Area U9ci 37°07′17″N 116°02′00″W﻿ / ﻿37.12151°N 116.03326°W       | 1,268 m (4,160 ft) - 250.24 m (821.0 ft)     | underground shaft  | weapons development | 600 t           | Venting detected, 12 Ci (440 GBq)     |                                                                                         |
| Canna-Limoges - 2                   | 17 November 1972 18:00:00.16  | PST (-8 hrs)    | NTS Area U9itsyz26 37°08′22″N 116°02′00″W﻿ / ﻿37.13953°N 116.03324°W  | 1,273 m (4,177 ft) +                         | underground shaft  | safety experiment   | less than 20 kt |                                       | Simultaneous, same hole.                                                                |
