"Club","Chinese","City","Home stadium","Capacity","Average attendance"
"Beijing GuoanTH","北京国安","Beijing","Workers Stadium","62,000","33,342"
"Changchun Yatai","长春亚泰","Changchun","Development Area Stadium","25,000","10,067"
"Changsha Ginde","长沙金德","Changsha","Helong Stadium","55,000","10,152"
"Chongqing Lifan","重庆力帆","Chongqing","Chongqing Olympic Sports Center","58,680","11,433"
"Dalian Shide","大连实德","Dalian","Jinzhou Stadium","30,775","12,307"
"Hangzhou Greentown","杭州绿城","Hangzhou","Yellow Dragon Stadium","51,139","14,550"
"Henan Construction","河南建业","Zhengzhou","Hanghai Stadium","29,000","18,630"
"Jiangsu Sainty","江苏舜天","Nanjing","Nanjing Olympic Stadium","61,443","10,667"
"Liaoning WhowinP","辽宁宏运","Shenyang","Shenyang Tiexi Stadium","24,000","10,100"
"Nanchang HengyuanP","南昌衡源","Nanchang","Nanchang Bayi Stadium","20,000","11,680"
"Qingdao Jonoon","青岛中能","Qingdao","Qingdao Tiantai Stadium","20,525","6,247"
"Shaanxi Chan-Ba","陕西浐灞","Xi'an","Shaanxi Province Stadium","47,565","28,053"
"Shandong Luneng","山东鲁能","Jinan","Shandong Provincial Stadium","43,700","15,901"
"Shanghai Shenhua","上海申花","Shanghai","Hongkou Stadium","33,060","12,963"
"Shenzhen Ruby","深圳红钻","Shenzhen","Shenzhen Stadium","32,500","12,439"
"Tianjin Teda","天津泰达","Tianjin","TEDA Football Stadium","36,390","14,757"
"Total","Total","Total","Total","Total","14,581"
