Part	Number	First public release date (First edition)	Latest public release date (edition)	Latest amendment	Title	Description
Part 1	ISO/IEC 15938-1	2002	2002	2006	Systems	the architectural framework of MPEG-7, the carriage of MPEG-7 content - TeM (Textual format for MPEG-7) and the binary format for MPEG-7 descriptions (BiM)
Part 2	ISO/IEC 15938-2	2002	2002		Description definition language	
Part 3	ISO/IEC 15938-3	2002	2002	2010	Visual	
Part 4	ISO/IEC 15938-4	2002	2002	2006	Audio	
Part 5	ISO/IEC 15938-5	2003	2003	2008	Multimedia description schemes	
Part 6	ISO/IEC 15938-6	2003	2003	2010 (2011)	Reference software	
Part 7	ISO/IEC 15938-7	2003	2003	2010 (2011)	Conformance testing	
Part 8	ISO/IEC TR 15938-8	2002	2002	2010	Extraction and use of MPEG-7 descriptions	
Part 9	ISO/IEC 15938-9	2005	2005	(2011)	Profiles and levels	
Part 10	ISO/IEC 15938-10	2005	2005		Schema definition	
Part 11	ISO/IEC TR 15938-11	2005	2005		MPEG-7 profile schemas	
Part 12	ISO/IEC 15938-12	2008	2008	(2011)	Query format	
