"Season","Greek League","Greek Cup","Europe","Coach","Roster"
"1928-29","Champion","-","-","Nikos Nisiotis","Christos Svolopoulos, Dimitris Sidiropoulos, Evagelinos, Sfikas, Spiridakis, Alexandros Sidiropoulos, Symeonidis, Skepers"
"1938-39","Champion","-","-","",""
"1939-40","Champion","-","-","",""
"1949-50","Finalist","-","-","",""
"1950-51","Finalist","-","-","",""
"1952-53","Champion","-","-","","Themis Cholevas, Panagiotis Manias, Kostas Papadimas, Mimis Stefanidis, Aristidis Roubanis"
"1953-54","Finalist","-","-","",""
"1954-55","Champion","-","-","","Antonis Christeas"
"1956-57","Champion","-","-","","Antonis Christeas, Themis Cholevas, Kostas Papadimas, Mimis Stefanidis, Giorgos Moshos, Sakkelis, Mavroleon, Karvelas, Makrinikolas, Lekkas"
"1957-58","_","-","Euroleague
Last 32","",""
"1969-70","3rd place","_","_","","Vasilis Goumas"
"1974-75","_","-","Korać Cup
Last 32","","Vasilis Goumas"
"1975-76","_","Last 32","Korać Cup
Last 16","","Vasilis Goumas"
"1977-78","3rd place","Last 16","Korać Cup
Last 16","",""
"1978-79","_","Last 8","Korać Cup
Last 32","",""
"1980-81","_","Last 16","Korać Cup
Last 32","",""
"1986-87","_","Finalist","Cup Winners' Cup
Last 32","Nikos Pavlou","Giannopoulos, Stamatis, Dakouris, Malah, Tsekos, Pandraklakis, Katsibas, Tsapralis, Kokorogiannis, Zafiropoulos"
"1987-88","9th place","Last 4","Cup Winners' Cup
Last 32","",""
"2004-05","12th place","Last 16","-","Manos Manouselis,
Kostas Petropoulos","Gary Trent, Miroslav Berić, Aleksandar Ćapin, Bariša Krasić, Éric Struelens, Rick Rickert, Giorgos Maslarinos, Prodromos Dreliozis, Giorgos Bozikas, Roundy Garcνa, Tasos Kantartzis, Christos Liggos, Giannis Sakellariou, Alexis Tsamatos, Ilias Tsopis, Jitim Young, Ryan Robertson, Mikel Nahar, Jan-Hendrick Jagla, Vagelis Morfis, Kostas Tzialas"
"2005-06","5th place","Last 16","-","Argyris Pedulakis","Damir Mulaomerović, Jamel Thomas, Dylan Page, Britton Johnsen, Robert Gulyas, Ruben Boumtje-Boumtje, Stevan Nađfeji, Dimitris Tsaldaris, Tasos Kantartzis, Jovan Koprivica, Giorgos Maslarinos, Evangelos Morfis, Kostas Paschalis, Giannis Sakellariou, Ivan Tomas, Alexis Tsamatos, Ilias Tsopis, Juan Mendez, Christos Liggos, Alkiviadis Pappas"
"2006-07","5th place","Last 16","-","Vagelis Magiras,
Giorgos Kalafatakis","Anthony Goldwire, Michalis Pelekanos, Nikos Ekonomou, Mamadou N'Diaye, Andrae Patterson, Malik Dixon, Nikos Argyropoulos, Dragan Ćeranić, Giannis Georgalis, Sotiris Karapostolou, Stevan Nađfeji, Pantelis Papaioakim, Alexandros Petroulas, Damir Rančić, Giannis Sakellariou, Gary Trent, Dubravko Zemljić, Agi Ibeja, Marko Jovanović, Panagiotis Spiliopoulos, Nikos Pappas"
"2007-08","6th place","Last 4","ULEB Cup
Regular Season","Elias Zouros","Anthony Grundy, Jurica Golemac, Lewis Sims, Giorgos Apostolidis, Nikos Argyropoulos, Mamadou N'Diaye, Đuro Ostojić, Damir Rančić, Vangelis Sklavos, Márton Báder, Milan Dozet, Dimitris Kalaitzidis, Vangelis Karaboulas, Tre Kelley, Pantelis Papaioakim, Alexandros Petroulas, Giannis Sakellariou, Melvin Sanders, Nikos Pappas"
"2008-09","6th place","Last 8","Eurocup
Last 16","Elias Zouros","Anthony Grundy, Jurica Golemac, Manolis Papamakarios, Giorgos Kalaitzis, Đuro Ostojić, Ivan Radenović, Vladimir Petrović, Nikos Makris, Dimitris Kalazitzidis, Giannis Sakellariou, Alexandros Petroulas, Brad Newley, Stevan Nađfeji, Dimitris Kompodietas, Mustafa Shakur"
"2009-10","4th place","Last 8","Eurocup
Semifinals","Elias Zouros","Ian Vougioukas, Đuro Ostojić, Efthymios Tsakaleris, Chris Owens, Josh Davis, Markos Kolokas, Devin Smith, Ioannis Georgallis, Alekos Petroulas, Manolis Papamakarios, Konstantinos Charalampidis, Dimitrios Kompodietas, Roderick Blakney, Georgios Kalaitzis, Vasilios Xanthopoulos, Britton Johnsen"
"2010-11","12th place","Last 8","Eurocup
TBD","Thanasis Skourtopoulos","Torin Francis, Đuro Ostojić, Efthymios Tsakaleris, Steven Smith, Evangelos Sklavos, Markos Kolokas, Joseph Krabbenhoft, Georgios Kalaitzis, Ioannis Karathanasis, Manolis Papamakarios, Samo Udrih, Dimitrios Kompodietas, Maurice Bailey, Vasilios Xanthopoulos, Andre Brown, Damir Rančić, Derrick Byars, Vlado Šćepanović"
