Pick	Player	Team	Position	School
1	Pat Burrell	Philadelphia Phillies	1B	University Of Miami
2	Mark Mulder	Oakland Athletics	P	Michigan State University
3	Corey Patterson	Chicago Cubs	OF	Harrison HS (Kennesaw, GA)
4	Jeff Austin	Kansas City Royals	P	Stanford University
5	J. D. Drew	St. Louis Cardinals	OF	Florida State University
6	Ryan Mills	Minnesota Twins	P	Arizona State University
7	Austin Kearns	Cincinnati Reds	OF	Lafayette HS (Lexington, KY)
8	Felipe López	Toronto Blue Jays	3B	Lake Brantley HS (Altamonte Springs, FL)
9	Sean Burroughs	San Diego Padres	3B	Woodrow Wilson Classical HS (Long Beach, CA)
10	Carlos Peña	Texas Rangers	1B	Northeastern University
11	Josh McKinley	Montreal Expos	SS	Malvern Prep (Malvern, PA)
12	Adam Everett	Boston Red Sox	SS	University of South Carolina
13	J.M. Gold	Milwaukee Brewers	P	Toms River HS North (Toms River, NJ)
14	Jeff Weaver	Detroit Tigers	P	Fresno State University
15	Clint Johnston	Pittsburgh Pirates	1B	Vanderbilt University
16	Kip Wells	Chicago White Sox	P	Baylor University
17	Brad Lidge	Houston Astros	P	University of Notre Dame
18	Seth Etherton	Anaheim Angels	P	University of Southern California
19	Tony Torcato	San Francisco Giants	OF	Woodland HS (Woodland, CA)
20	CC Sabathia	Cleveland Indians	P	Vallejo HS (Vallejo, CA)
21	Jason Tyner	New York Mets	OF	Texas A&M University
22	Matt Thornton	Seattle Mariners	P	Grand Valley State University
23	Bubba Crosby	Los Angeles Dodgers	OF	Rice University
24	Andy Brown	New York Yankees	OF	Richmond HS (Richmond, IN)
25	Nate Bump	San Francisco Giants	P	Penn State University
26	Rick Elder	Baltimore Orioles	OF	Sprayberry HS (Sprayberry, GA)
27	Chip Ambres	Florida Marlins	OF	West Brook HS (Beaumont, TX)
28	Matt Roney	Colorado Rockies	P	Edmond North HS (Edmond, OK)
29	Arturo McDowell	San Francisco Giants	OF	Forest Hill Community HS (West Palm Beach, FL)
30	Matt Burch	Kansas City Royals	P	Virginia Commonwealth University
