| Representative          | Title                                            | Presentation of Credentials | Termination of Mission | Appointed by          |
| Solon Borland           | Envoy Extraordinary and Minister Plenipotentiary |                             | April 17, 1854         | Franklin Pierce       |
| Beverly L. Clarke       | Minister Resident                                | August 10, 1858             | March 17, 1860         | James Buchanan        |
| James R. Partridge      | Minister Resident                                | April 25, 1862              | November 14, 1862      | Abraham Lincoln       |
| Thomas H. Clay          | Minister Resident                                | April 5, 1864               | August 10, 1866        | Abraham Lincoln       |
| Richard H. Rousseau     | Minister Resident                                | October 10, 1866            | August 10, 1869        | Andrew Johnson        |
| Henry Baxter            | Minister Resident                                | August 10, 1869             | June 30, 1873          | Ulysses S. Grant      |
| George Williamson       | Minister Resident                                | February 19, 1874           | January 31, 1879       | Ulysses S. Grant      |
| Cornelius A. Logan      | Minister Resident                                | October 10, 1879            | April 15, 1882         | Rutherford B. Hayes   |
| Henry C. Hall           | Minister Resident                                | April 21, 1882              | September 26, 1882     | Chester A. Arthur     |
| Henry C. Hall           | Envoy Extraordinary and Minister Plenipotentiary | September 26, 1882          | May 16, 1889           | Chester A. Arthur     |
| Lansing B. Mizner       | Envoy Extraordinary and Minister Plenipotentiary | March 30, 1889              | December 31, 1890      | Benjamin Harrison     |
| Romualdo Pacheco        | Envoy Extraordinary and Minister Plenipotentiary | April 17, 1891              | June 12, 1893          | Benjamin Harrison     |
| Pierce M. B. Young      | Envoy Extraordinary and Minister Plenipotentiary | November 12, 1893           | May 23, 1896           | Grover Cleveland      |
| Macgrane Coxe           | Envoy Extraordinary and Minister Plenipotentiary |                             | June 30, 1897          | Grover Cleveland      |
| W. Godfrey Hunter       | Envoy Extraordinary and Minister Plenipotentiary | January 19, 1899            | February 2, 1903       | William McKinley      |
| Leslie Combs            | Envoy Extraordinary and Minister Plenipotentiary | May 22, 1903                | February 27, 1907      | Theodore Roosevelt    |
| Joseph W. J. Lee        | Envoy Extraordinary and Minister Plenipotentiary |                             | July 1, 1907           | Theodore Roosevelt    |
