| Map (coordinates)                             | Municipality               | Area (square kilometers) (square miles) | Population | Mesoregion       | Microregion         |
| 6°26′8″S 36°38′20″W﻿ / ﻿6.43556°S 36.63889°W  | Acari                      | 608.565 (234.967)                       | 11,035     | Central Potiguar | Seridó Oriental     |
| 5°29′54″S 36°30′20″W﻿ / ﻿5.49833°S 36.50556°W | Afonso Bezerra             | 576.248 (222.489)                       | 10,879     | Central Potiguar | Angicos             |
| 6°12′33″S 38°17′50″W﻿ / ﻿6.20917°S 38.29722°W | Água Nova                  | 50.683 (19.569)                         | 2,984      | Oeste Potiguar   | Serra de São Miguel |
| 6°24′45″S 38°0′57″W﻿ / ﻿6.41250°S 38.01583°W  | Alexandria                 | 381.202 (147.182)                       | 13,475     | Oeste Potiguar   | Pau dos Ferros      |
| 6°9′8″S 37°45′58″W﻿ / ﻿6.15222°S 37.76611°W   | Almino Afonso              | 128.029 (49.432)                        | 4,880      | Oeste Potiguar   | Umarizal            |
| 5°17′18″S 36°45′44″W﻿ / ﻿5.28833°S 36.76222°W | Alto do Rodrigues          | 191.311 (73.865)                        | 12,306     | Oeste Potiguar   | Vale do Açu         |
| 5°39′56″S 36°36′4″W﻿ / ﻿5.66556°S 36.60111°W  | Angicos                    | 741.654 (286.353)                       | 11,553     | Central Potiguar | Angicos             |
| 6°12′46″S 37°54′20″W﻿ / ﻿6.21278°S 37.90556°W | Antônio Martins            | 244.620 (94.448)                        | 6,907      | Oeste Potiguar   | Umarizal            |
| 5°39′51″S 37°47′56″W﻿ / ﻿5.66417°S 37.79889°W | Apodi                      | 1,602.659 (618.787)                     | 34,777     | Oeste Potiguar   | Chapada do Apodi    |
| 4°57′22″S 37°8′13″W﻿ / ﻿4.95611°S 37.13694°W  | Areia Branca               | 357.580 (138.062)                       | 25,263     | Oeste Potiguar   | Mossoró             |
| 6°11′40″S 35°9′37″W﻿ / ﻿6.19444°S 35.16028°W  | Arês                       | 112.584 (43.469)                        | 12,931     | Leste Potiguar   | Litoral Sul         |
