Site name	Reason for designation\nBiological interest	Reason for designation\nGeological interest	Area\nHectares	Area\nAcres	Coordinates & Grid ref	Year in which notified	Other designations	Map & Citation
Abney & Bretton Cloughs			147.8	365.3	53°18′29″N 1°41′20″W﻿ / ﻿53.308°N 1.689°W\n    SK208790	1972	NP	Map
Ambergate and Ridgeway Quarries			1.0	2.5	53°03′29″N 1°28′01″W﻿ / ﻿53.058°N 1.467°W\n    SK358513	1963	GCR	Map
Attenborough Gravel Pits			226.6	559.9	52°53′56″N 1°13′41″W﻿ / ﻿52.899°N 1.228°W\n    SK520338	1982	WT	Map
Bage Mine			0.1	0.3	53°05′28″N 1°34′01″W﻿ / ﻿53.091°N 1.567°W\n    SK291549	1985	GCR	Map
Baileycroft Quarry			0.9	2.1	53°05′06″N 1°34′26″W﻿ / ﻿53.085°N 1.574°W\n    SK286543	1985	GCR	Map
Ballidon Dale			50.8	125.6	53°06′04″N 1°41′49″W﻿ / ﻿53.101°N 1.697°W\n    SK204560	1996	NP, SAC	Map
Bee's Nest and Green Clay Pits			15.0	37.0	53°05′13″N 1°38′35″W﻿ / ﻿53.087°N 1.643°W\n    SK240545	1990	GCR, SAC	Map
Benty Grange			21.1	52.0	53°10′26″N 1°46′55″W﻿ / ﻿53.174°N 1.782°W\n    SK146641	2012		Map
Bonsall Leys			15.4	38.2	53°06′47″N 1°36′22″W﻿ / ﻿53.113°N 1.606°W\n    SK265574	1993		Map
Boulton Moor			3.9	9.7	52°52′52″N 1°26′13″W﻿ / ﻿52.881°N 1.437°W\n    SK380316	1992	GCR	Map
Bradbourne Mill Meadows			6.9	17.0	53°04′05″N 1°42′14″W﻿ / ﻿53.068°N 1.704°W\n    SK199524	2011		Map
Bradwell Dale and Bagshaw Cavern			95.2	235.2	53°19′16″N 1°44′53″W﻿ / ﻿53.321°N 1.748°W\n    SK169805	1964	GCR	Map
Bradwell Meadows			0.9	2.3	53°19′19″N 1°44′10″W﻿ / ﻿53.322°N 1.736°W\n    SK177806	1990		Map
Breadsall Railway Cutting			4.9	12.0	52°57′11″N 1°25′08″W﻿ / ﻿52.953°N 1.419°W\n    SK391397	1986	GCR, LNR, WT	Map
Calke Park			71.1	175.8	52°48′04″N 1°27′58″W﻿ / ﻿52.801°N 1.466°W\n    SK361227	1992		Map
Calton Hill			5.2	12.7	53°14′20″N 1°49′41″W﻿ / ﻿53.239°N 1.828°W\n    SK116713	1951	GCR	Map
Carver's Rocks			16.7	41.2	52°48′00″N 1°30′43″W﻿ / ﻿52.8°N 1.512°W\n    SK330226	1963		Map
Castleton			837.3	2,069.1	53°20′13″N 1°48′11″W﻿ / ﻿53.337°N 1.803°W\n    SK132823	1954	GCR, NP, NT	Map
Cawdor Quarry			4.7	11.7	53°08′28″N 1°34′30″W﻿ / ﻿53.141°N 1.575°W\n    SK285605	1963	GCR	Map
Chatsworth Old Park			72.5	179.2	53°13′01″N 1°36′22″W﻿ / ﻿53.217°N 1.606°W\n    SK264689	1998	NP	Map
Chrome and Parkhouse Hills			30.7	75.9	53°12′07″N 1°53′42″W﻿ / ﻿53.202°N 1.895°W\n    SK071672	1951	NP, RIGS	Map
Clough Woods			109.4	270.4	53°09′04″N 1°37′19″W﻿ / ﻿53.151°N 1.622°W\n    SK254616	1964	SM, NP	Map
Colehill Quarries			11.3	27.9	53°05′31″N 1°34′26″W﻿ / ﻿53.092°N 1.574°W\n    SK286551	1985	GCR	Map
Combs Reservoir			32.0	79.1	53°18′43″N 1°56′38″W﻿ / ﻿53.312°N 1.944°W\n    SK038794	1986		Map
Coombs Dale			86.0	212.4	53°15′50″N 1°40′12″W﻿ / ﻿53.264°N 1.67°W\n    SK221742	1954	NP, NCR, SAC	Map
Crabtree Wood			3.5	8.7	53°18′04″N 1°15′58″W﻿ / ﻿53.301°N 1.266°W\n    SK490785	1981		Map
Cressbrook Dale			120.4	297.6	53°15′47″N 1°44′17″W﻿ / ﻿53.263°N 1.738°W\n    SK176740	1954	GCR, NNR, NP, NCR, SAC	Map
Creswell Crags			19.5	48.1	53°15′43″N 1°12′04″W﻿ / ﻿53.262°N 1.201°W\n    SK534742	1981	SM, GCR	Map
Cromford Canal			10.2	25.1	53°05′49″N 1°31′05″W﻿ / ﻿53.097°N 1.518°W\n    SK324556	1981	LNR, WT	Map
Dale Quarry			2.0	4.9	53°04′59″N 1°34′48″W﻿ / ﻿53.083°N 1.58°W\n    SK282541	1998	GCR	Map
Dark Peak			31,852.9	78,708.4	53°26′N 1°41′W﻿ / ﻿53.44°N 1.69°W\n    SK207937	1951	SPA, GCR, NP, NT, NCR, SAC	Map
Dimminsdale			37.0	91.4	52°47′28″N 1°26′38″W﻿ / ﻿52.791°N 1.444°W\n    SK376216	1981	WT	Map
Dirtlow Rake and Pindale			23.2	57.4	53°20′10″N 1°46′08″W﻿ / ﻿53.336°N 1.769°W\n    SK155821	1990	GCR	Map
Doe Lea Stream Section			0.1	0.3	53°13′05″N 1°18′50″W﻿ / ﻿53.218°N 1.314°W\n    SK459692	1988	GCR, LNR	Map
Dove Valley and Biggin Dale			691.5	1,708.8	53°03′47″N 1°47′02″W﻿ / ﻿53.063°N 1.784°W\n    SK146518	1954	GCR, NNR, NCR, SAC	Map
Dovedale Wood			13.4	33.2	53°09′47″N 1°18′22″W﻿ / ﻿53.163°N 1.306°W\n    SK465631	1982	NT	Map
Duchy Quarry			2.4	5.8	53°17′13″N 1°51′43″W﻿ / ﻿53.287°N 1.862°W\n    SK093767	1985	GCR	Map
Duckmanton Railway Cutting			3.8	9.4	53°13′41″N 1°22′05″W﻿ / ﻿53.228°N 1.368°W\n    SK423703	1974	GCR	Map
Eastern Peak District Moors			8,193.4	20,246.2	53°12′14″N 1°32′53″W﻿ / ﻿53.204°N 1.548°W\n    SK303675	1964	SM, SPA, ESA, GCR, WT, NP, NT, SAC	Map
Edale			15.0	37.0	53°21′54″N 1°51′25″W﻿ / ﻿53.365°N 1.857°W\n    SK096854	1966	GCR, National Trust	Map
Fall Hill Quarry			4.1	10.2	53°09′29″N 1°28′26″W﻿ / ﻿53.158°N 1.474°W\n    SK353624	1990	GCR	Map
Fox Hole Cave			0.2	0.4	53°11′31″N 1°51′11″W﻿ / ﻿53.192°N 1.853°W\n    SK099661	1986	GCR	Map
Gang Mine			8.3	20.5	53°05′53″N 1°34′26″W﻿ / ﻿53.098°N 1.574°W\n    SK286557	1988	NCR, SAC	Map
Ginny Spring, Whitwell Wood			4.0	9.9	53°18′18″N 1°13′23″W﻿ / ﻿53.305°N 1.223°W\n    SK519789	1963		Map
