"Team","Outgoing manager","Manner of departure","Date of vacancy","Replaced by","Date of appointment","Position in table"
"Manchester City","Stuart Pearce","Contract terminated","14 May 2007","Sven-Göran Eriksson","6 July 2007","Pre-season"
"Chelsea","José Mourinho","Mutual consent","20 September 2007","Avram Grant","20 September 2007","5th"
"Bolton Wanderers","Sammy Lee","Mutual consent","17 October 2007","Gary Megson","25 October 2007","19th"
"Tottenham Hotspur","Martin Jol","Contract terminated","25 October 2007","Juande Ramos","27 October 2007","18th"
"Wigan Athletic","Chris Hutchings","Contract terminated","5 November 2007","Steve Bruce","26 November 2007","18th"
"Birmingham City","Steve Bruce","Wigan purchased rights for £3m","19 November 2007","Alex McLeish","28 November 2007","15th"
"Derby County","Billy Davies","Mutual consent","26 November 2007","Paul Jewell","28 November 2007","20th"
"Fulham","Lawrie Sanchez","Contract terminated","21 December 2007","Roy Hodgson","30 December 2007","18th"
"Newcastle United","Sam Allardyce","Mutual consent","9 January 2008","Kevin Keegan","16 January 2008","11th"
"Chelsea","Avram Grant","Contract terminated","24 May 2008","Luiz Felipe Scolari","1 July 2008","Post-season (2nd)"
"Manchester City","Sven-Göran Eriksson","Mutual consent","2 June 2008","Mark Hughes","4 June 2008","Post-season (9th)"
"Blackburn Rovers","Mark Hughes","Manchester City purchased rights for £4.6m","4 June 2008","Paul Ince","22 June 2008","Post-season (7th)"
