Distribution	x86	x86-64	ia64	ppc	ppc64	sparc32	sparc64	arm	hppa	mips	sh	s390	s390x	alpha	m68k
Arch Linux	Yes (>=i686)	Yes	No	Discontinued unofficial port	No	No	No	Yes\nUnofficial	No	No	No	No	No	No	No
BackTrack	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
Bodhi Linux	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
BOSS Linux	Yes	Yes	No	Yes	Yes	No	No	?	No	No	No	No	No	No	No
CentOS	Yes	Yes	Discontinued\n3.5-3.8\n4.1-4.7	Beta\n4.0	No	Beta\n4.2	No	No	No	No	No	Discontinued\n3.5-3.8\n4.1-4.7	Discontinued\n3.5-3.8\n4.1-4.7	Discontinued\n4.2-4.3	No
Chakra	No	Yes	No	No	No	No	No	?	No	No	No	No	No	No	No
CRUX	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No
Debian	Yes	Yes\n4.0+	Discontinued\n3.0-7.0	Yes\n2.2+	Yes	Discontinued on Lenny	Yes	Yes\n2.2+	Discontinued\n3.0-5.0	Yes\n3.0+	In progress	Discontinued\n3.0-7	Yes\n7+	Discontinued\n2.1-5.0	Discontinued\n2.0-3.1
Fedora	Yes	Yes	Discontinued from\nFedora 9	Yes	Yes	No	Still active but slow in development, Last available is\nFedora 12\n, Working on\nFedora 18	Yes	No	Inactive from\nFedora 13	No	No	Yes	No	No
Finnix	Yes	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
Frugalware	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
Gentoo	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Kali Linux	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
MEPIS	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
MintPPC	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
OES2-Linux	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
OpenELEC	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
openSUSE	Yes	Yes	No	No	No	No	partial	partial	No	No	No	No	No	No	No
OpenWrt	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	No
Oracle Linux	Yes	Yes	Discontinued\n5	No	No	No	No	No	No	No	No	No	No	No	No
Red Flag Linux	Yes	Yes	Discontinued\n3	No	Discontinued\n3	No	No	No	No	No	No	No	No	No	No
Red Hat Linux	Yes	No	Discontinued\n7.1-7.2	Test release\n5.1	No	Discontinued\n4.0-4.2\n5.1-6.2	Test release\n5.1	No	No	Test release\n5.1	No	Discontinued\n7.2	Discontinued\n7.1	Discontinued\n2.1-7.1	Test release\n5.1
Red Hat Enterprise Linux	Discontinued\n2.1-6	Yes\n3+	Discontinued\n2.1-5	Yes\n3+	Yes\n3+	No	No	No	No	No	No	Discontinued\n3-4	Yes\n3+	No	No
Rxart Desktop	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No
Porteus	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
Scientific Linux	Yes	Yes	Discontinued\n3-4	No	No	No	No	No	No	No	No	No	No	No	No
SHR	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No
Slackware	Yes	Yes	No	No	No	Discontinued\n?	No	Yes	No	No	No	Discontinued\n?	Discontinued\n?	Discontinued\n8.1	No
Source Mage GNU/Linux	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No
SUSE Linux Enterprise Server	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No
Tor-ramdisk	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No
Ubuntu/Kubuntu/Xubuntu/Lubuntu	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No
XBMC	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No
Yellow Dog Linux	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
Distribution	x86	x86-64	ia64	ppc	ppc64	sparc32	sparc64	arm	hppa	mips	sh	s390	s390x	alpha	m68k
