"Ranking","Company","Industry","Revenue (USD billions)","FY","Capitalization (USD billions)","Employees","Listing","Headquarters","CEO"
"1","Wal-Mart Stores, Inc.","Retail","$469","January 31, 2013","$248","2,200,000","NYSE: WMT","Bentonville, Arkansas","Doug Mcmillon"
"2","Royal Dutch Shell","Oil and gas","$467","December 31, 2012","$132","90,000","LSE: RDSA","The Hague;  London","Ben van Beurden"
"3","Exxon Mobil Corporation","Oil and gas","$453","December 31, 2012","$406","76,900","NYSE: XOM","Irving, Texas","Rex W. Tillerson"
"4","China National Petroleum Corporation","Oil and gas","$425","December 31, 2012","","1,668,072","—","Beijing","Zhou Jiping"
"5","Sinopec Group","Oil and gas","$411","December 31, 2012","$81","401,000","NYSE: SNP","Beijing","Wang Tianpu"
"6","BP","Oil and gas","$379","December 31, 2013","$89","83,900","LSE: BP","London","Bob Dudley"
"7","Saudi Aramco","Oil and gas","$311","2012","","54,041","—","Dhahran","Khalid A. Al-Falih"
"8","Vitol","Commodities","$303","January 10, 2013","","2,800","—","Rotterdam;  Geneva","Ian Taylor"
"9","State Grid Corporation of China","Electric utility","$290","2012","","1,564,000","—","Beijing","Liu Zhenya"
"10","Samsung","Conglomerate","$268","December 31, 2014","","427,000","KRX: 005930; KRX: 005935","Samsung Town","Lee Kun-hee"
"11","Volkswagen Group","Automotive","$254","December 31, 2012","$77","502,000","ISIN: DE0007664005","Wolfsburg","Martin Winterkorn"
"12","Chevron","Oil and gas","$242","December 31, 2012","$211","61,000","NYSE: CVX","San Ramon, California","John Watson"
"13","Total","Oil and gas","$240","December 31, 2013","$120","111,000","Euronext: FP","Courbevoie","Christophe de Margerie"
"14","Toyota","Automotive","$222","March 31, 2013","$149","326,000","TYO: 7203; NYSE: TM","Toyota, Aichi","Akio Toyoda"
"15","Glencore Xstrata","Commodities","$214","December 31, 2012","$41.66","58,000","LSE: GLEN; SEHK: 0805","Baar","Ivan Glasenberg"
"16","Phillips 66","Oil and gas","$182","December 31, 2012","$39","13,500","NYSE: PSX","Houston, Texas","Greg Garland"
"17","E.ON","Electric utility","$174","December 31, 2012","$47","79,000","FWB: EOAN","Düsseldorf","Johannes Teyssen"
"18","Apple","Electronics","$170","September 28, 2013","$410","76,000","NASDAQ: AAPL","Cupertino, California","Tim Cook"
"19","Japan Post Holdings","Conglomerate","$168","March 31, 2013","","229,000","—","Tokyo","Jiro Saito"
"20","Eni","Oil and gas","$167","December 31, 2012","$94","78,000","BIT: ENI","Rome","Paolo Scaroni"
"21","Gazprom","Oil and gas","$164","December 31, 2012","$145","432,000","MCX: GAZP","Moscow","Alexei Miller"
"22","Berkshire Hathaway","Conglomerate","$162","December 31, 2012","$201","217,000","NYSE: BRKA; NYSE: BRKB","Omaha, Nebraska","Warren Buffett"
"23","General Motors","Automotive","$152","December 31, 2012","$40","284,000","NYSE: GM","Detroit, Michigan","Daniel Akerson"
"24","Daimler","Automotive","$150","December 31, 2012","$64","275,087","FWB: DAI","Stuttgart","Dieter Zetsche"
"25","General Electric","Conglomerate","$147","December 31, 2012","$212","287,000","NYSE: GE","Fairfield, Connecticut","Jeffrey Immelt"
"26","Kuwait Petroleum Corporation","Oil and gas","$145","March 31, 2012","","17,927","","Kuwait City","Saad Al Shuwaib"
"27","Petrobras","Oil and gas","$144","December 31, 2012","$171","81,000","Bovespa: PETR3; Bovespa: 4","Rio de Janeiro","Maria das Graças Foster"
"28","Allianz","Financial services","$140","December 31, 2012","$54","142,000","ISIN: DE0008404005","Munich","Michael Diekmann"
"29","Valero Energy","Oil and gas","$139","December 31, 2012","$16","22,000","NYSE: VLO","San Antonio, Texas","William R. Klesse"
"30","Lukoil","Oil and gas","$139","December 31, 2012","$51","120,000","MCX: LKOH","Moscow","Vagit Alekperov"
"31","Cargill","Food processing","$136","May 31, 2013","","158,000","—","Wayzata, Minnesota","Gregory R. Page"
"32","Hon Hai Precision Industry","Electronics","$134","December 31, 2012","$41","1,290,000","TWSE: 2317","Tucheng","Terry Gou"
"33","Ford Motor Company","Automotive","$134","December 31, 2012","$47","164,000","NYSE: F","Dearborn, Michigan","Alan Mulally"
"34","Trafigura","Commodities","$133","September 30, 2013","","8,773","—","Lucerne","Claude Dauphin"
"35","Statoil","Oil and gas","$130","December 31, 2012","$86","23,000","OSE: STL","Stavanger","Helge Lund"
"36","GDF Suez","Electricity and gas utility","$128","December 31, 2012","$58","161,000","Euronext: SZE","Paris","Gérard Mestrallet"
"37","AT&T","Telecommunications","$127","December 31, 2012","$185","256,000","NYSE: T","Dallas, Texas","Randall L. Stephenson"
"38","Pemex","Oil and gas","$127","December 31, 2012","","138,000","—","Mexico City","Juan José Suárez Coppel"
"39","PDVSA","Oil and gas","$124","December 31, 2012","","121,000","—","Caracas","Rafael Ramírez"
"40","CVS Caremark","Retail","$123","December 31, 2012","$59","202,000","NYSE: CVS","Woonsocket, Rhode Island","Larry J. Merlo"
"41","McKesson","Pharmaceuticals","$122","March 31, 2013","$22","32,000","NYSE: MCK","San Francisco, California","John Hammergren"
"42","JX Holdings","Oil and gas","$119","March 31, 2013","$16","24,000","TYO: 5020","Tokyo","—"
"43","AXA","Financial services","$118","December 31, 2012","$39","240,000","Euronext: CS","Paris","Henri de Castries"
"44","Assicurazioni Generali","Financial services","$116","December 31, 2012","$24","85,000","BIT: G","Trieste","Sergio Balbinot; Giovanni Perissinotto"
"45","Verizon","Telecommunications","$115","December 31, 2012","$108","203,000","NYSE: VZ","New York City, New York","Ivan Seidenberg"
"46","Koch Industries","Conglomerate","$115","December 31, 2012","","60,000","—","Wichita, Kansas","Charles Koch"
"47","Nippon Telegraph and Telephone","Telecommunications","$113","March 31, 2013","$73","205,000","TYO: 9432","Tokyo","Norio Wada"
"48","SK Group","Conglomerate","$112","December 31, 2012","","52,377","KRX: 003600","Seoul","Choi Tae-Won"
"49","Hewlett-Packard","Information Technology","$112","October 31, 2013","$47","267,000","NYSE: HPQ","Palo Alto, California","Meg Whitman"
"50","Enel","Electric utility","$111","December 31, 2012","$34","59,000","BIT: ENEL","Rome","Fulvio Conti"
"51","Fiat","Automotive","$110","December 31, 2012","$7","214,836","BIT: F","Turin","Sergio Marchionne"
