"Pos","Team","Played","Won","Draw","Lost","Goals For","Goals Against","Goal Difference","Points","Notes"
"1","KR","18","11","4","3","27","14","+13","37","UEFA Champions League"
"2","Fylkir","18","10","5","3","39","16","+23","35","UEFA Cup"
"3","Grindavík","18","8","6","4","25","18","+7","30","UEFA Cup"
"4","ÍBV","18","8","5","5","29","17","+12","29","Inter-Toto Cup"
"5","ÍA","18","7","5","6","21","17","+4","26",""
"6","Keflavík","18","4","7","7","21","35","-14","19",""
"7","Breiðablik","18","5","3","10","29","35","-6","18",""
"8","Fram","18","4","5","9","22","33","-11","17",""
"9","Stjarnan","18","4","5","9","18","31","-13","17","Relegated"
"10","Leiftur","18","3","7","8","24","39","-15","16","Relegated"
