"Draw","Artist","Song","Points","Place"
"1","Yehuda Tamir","\"Na'ara\"","43","4th (tie)"
"2","Shlishiyat Adama","\"La ve'li\"","17","10th (tie)"
"3","Miri Aloni","\"Kmo ha'emuna\"","26","8th"
"4","Moti Giladi and Sarai Tzuriel","\"Yavo Yom\"","66","1st"
"5","Boaz Sharabi","\"Halevai\"","1","12th"
"6","Doron Mazar","\"Nagni li balalaika\"","56","2nd"
"7","Rita","\"Shvil ha'bricha\"","43","4th (tie)"
"8","Shula Chen","\"Gitara\"","17","10th (tie)"
"9","Arba Lev Adom","\"Yesh\"","24","9th"
"10","Isolir Band","\"Kafe o te\"","40","6th"
"11","Tzvika Pick","\"Layla layla\"","27","7th"
"12","Chaim Moshe","\"Le'chaim\"","46","3rd"
