"Year","Democratic
Party","Republican
Party","Independent
/ Other","Majority"
"1865","0","0","124","124"
"1868","14","110","0","96"
"1870","0","100","24(a)","76"
"1872","22","102","0","80"
"1874","0","91","33(b)","58"
"1876","64","60","0","4"
"1878","121","3","0","118"
"1880","120","4","0","116"
"1902–
1962","124","0","0","124"
"1964","123","1","0","122"
"1966","107","17","0","90"
"1968","119","5","0","114"
"1970","115","9","0","109"
"1972","107","17","0","90"
"1974","110","14","0","96"
"1976","114","10","0","104"
"1978","111","13","0","98"
"1980","110","14","0","96"
"1982","108","16","0","92"
"1984","102","22","0","80"
"1986","98","26","0","72"
"1988","94","30","0","64"
"1990","89","35","0","54"
"1992","84","40","0","44"
"1994","72","52","0","20"
"1996","54","70","0","16"
"1998","58","66","0","12"
"2000","55","69","0","14"
"2002","51","73","0","22"
"2004","50","74","0","24"
"2006","51","73","0","22"
"2008","52","72","0","20"
"2010","47","76","0","29"
"2012","45","78","0","30"
