"Place","Player","Country","Score","To par"
"1","Tiger Woods","United States","67-66-67=200","−16"
"T2","Thomas Bjørn","Denmark","69-69-68=206","−10"
"T2","David Duval","United States","70-70-66=206","−10"
"T4","Darren Clarke","Northern Ireland","70-69-68=207","-9"
"T4","Loren Roberts","United States","69-68-70=207","-9"
"T4","David Toms","United States","69-67-71=207","-9"
"T7","Ernie Els","South Africa","66-72-70=208","−8"
"T7","Steve Flesch","United States","67-70-71=208","−8"
"T7","Tom Lehman","United States","68-70-70=208","−8"
"T7","Dennis Paulson","United States","68-71-70=208","−8"
