Township	FIPS	Population\ncenter	Population	Population\ndensity\n/km² (/sq mi)	Land area\nkm² (sq mi)	Water area\nkm² (sq mi)	Water %	Geographic coordinates
Belleville	05575		675	4 (11)	155 (60)	0 (0)	0.14%	37°3′50″N 96°7′48″W﻿ / ﻿37.06389°N 96.13000°W
Caneyville	10425		88	1 (2)	144 (55)	1 (0)	0.38%	37°15′23″N 96°27′27″W﻿ / ﻿37.25639°N 96.45750°W
Center	11575		75	1 (1)	144 (56)	1 (0)	0.80%	37°15′28″N 96°18′31″W﻿ / ﻿37.25778°N 96.30861°W
Harrison	30275		114	1 (2)	142 (55)	0 (0)	0.14%	37°4′3″N 96°26′32″W﻿ / ﻿37.06750°N 96.44222°W
Hendricks	31300		179	1 (3)	142 (55)	0 (0)	0.05%	37°1′12″N 96°18′42″W﻿ / ﻿37.02000°N 96.31167°W
Jefferson	35125	Cedar Vale	834	6 (15)	144 (56)	1 (0)	0.45%	37°6′45″N 96°29′12″W﻿ / ﻿37.11250°N 96.48667°W
Lafayette	37650		65	0 (1)	154 (59)	2 (1)	1.40%	37°15′36″N 96°10′20″W﻿ / ﻿37.26000°N 96.17222°W
Little Caney	41525		353	3 (8)	117 (45)	0 (0)	0.31%	37°3′51″N 96°1′5″W﻿ / ﻿37.06417°N 96.01806°W
Salt Creek	62775		123	1 (3)	127 (49)	0 (0)	0.34%	37°15′13″N 96°1′34″W﻿ / ﻿37.25361°N 96.02611°W
Sedan	63775	Sedan	1,660	13 (34)	128 (49)	1 (0)	0.65%	37°7′50″N 96°11′6″W﻿ / ﻿37.13056°N 96.18500°W
Summit	69025		106	1 (2)	144 (56)	1 (0)	0.40%	37°8′17″N 96°19′53″W﻿ / ﻿37.13806°N 96.33139°W
Washington	75550		87	1 (2)	121 (47)	1 (0)	0.71%	37°7′41″N 96°0′52″W﻿ / ﻿37.12806°N 96.01444°W
