"#","Player","Position","Height","Current Club"
"4","Garreth Lodge","Point Guard","1.85","Edinburgh Kings"
"5","Patrick Campbell","Shooting Guard","1.93","Edinburgh Kings"
"6","Grant Gibson","Point Guard","1.82","E.Lothian B."
"7","Laurie Costello","Point Guard","1.87","Edinburgh Kings"
"8","Josh Crolley","Small Forward","1.98","Troon Tornadoes"
"9","Daniel Donnelly","Small Forward","1.98","Troon Tornadoes"
"10","Michael Lynn","Forward","","St. Mirren"
"11","Ross Campbell","Forward","1.98","Troon Tornadoes"
"12","Steven Leven","Forward","1.97","Arkadikos"
"13","Thomas Pearson","Center","2.00","Manchester Magic"
"14","Ikemefuna Attah","Power Forward","1.98","Tees Valley Mohawks"
"15","Simon Flockhart","Center","2.10","Edinburgh Kings"
