Rank	Name	Club	Nationality	Points
1	Eusébio	Benfica	Portugal	67
2	Giacinto Facchetti	Internazionale	Italy	59
3	Luis Suárez	Internazionale	Spain	45
4	Paul Van Himst	Anderlecht	Belgium	25
5	Bobby Charlton	Manchester United	England	19
6	Flórián Albert	Ferencvárosi	Hungary	14
7	Gianni Rivera	Milan	Italy	10
8	Georgi Asparuhov	Levski Sofia	Bulgaria	9
8	Alessandro Mazzola	Internazionale	Italy	9
8	Valery Voronin	Torpedo Moskva	Soviet Union	9
11	Denis Law	Manchester United	Scotland	8
12	Karl-Heinz Schnellinger	Milan	West Germany	6
13	Ferenc Puskás	Real Madrid	Spain	5
13	Jim Baxter	Sunderland	Scotland	5
15	Mario Corso	Internazionale	Italy	3
15	Lev Yashin	Dynamo Moscow	Soviet Union	3
17	Mário Coluna	Benfica	Portugal	2
17	Amancio Amaro	Real Madrid	Spain	2
17	Franz Beckenbauer	Bayern Munich	West Germany	2
17	Milan Galić	Partizan Beograd	Yugoslavia	2
17	Philippe Gondet	Nantes	France	2
17	Andrej Kvašňák	Sparta Praha	Czechoslovakia	2
17	Ferenc Bene	Ujpest Dozsa	Hungary	2
17	Slava Metreveli	Dinamo Tbilisi	Soviet Union	2
25	Ivor Allchurch	Cardiff City	Wales	1
25	Jakob Kühn	Zürich	Switzerland	1
25	Sigfried Held	Borussia Dortmund	West Germany	1
