"Tournament","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","Career SR","Career W-L"
"Australian Open","A","A","1R","QF","A","2R","1R","1R","2R","QF","QF","3R","QF","W","SF","SF","3R","3R","A","1 / 15","33–14"
"French Open","A","A","1R","A","1R","1R","2R","3R","3R","3R","3R","2R","QF","1R","2R","2R","QF","QF","A","0 / 15","19–15"
"Wimbledon","A","LQ","1R","1R","A","1R","2R","3R","1R","1R","2R","3R","QF","SF","QF","2R","F","QF","1R","0 / 16","24–16"
"US Open","A","A","1R","A","A","1R","2R","1R","1R","W","QF","3R","QF","SF","SF","SF","2R","2R","A","1 / 14","29–13"
"Grand Slam W-L","0–0","0–0","0–4","3–2","0–1","1–4","3–4","4–4","2–4","11–3","9–4","7–4","12–4","14–3","12–4","10–4","8–4","9–4","0–1","2 / 60","105–58"
"Indian Wells","A","A","SF","LQ","A","A","A","2R","1R","1R","QF","2R","F","QF","1R","QF","QF","1R","A","0 / 12","16–12"
"Miami","A","A","2R","1R","A","A","2R","2R","3R","3R","3R","2R","W","F","SF","QF","2R","QF","A","1 / 14","23–13"
"Monte Carlo","A","A","A","A","A","A","A","2R","1R","1R","A","SF","A","A","A","SF","SF","2R","A","0 / 7","7–7"
"Rome","A","A","A","A","A","A","A","1R","A","1R","F","2R","QF","2R","QF","QF","SF","SF","A","0 / 10","11–10"
"Madrid (Stuttgart)","A","A","A","A","A","A","1R","1R","2R","2R","2R","F","A","SF","SF","2R","SF","SF","A","0 / 11","11–11"
"Canada","A","A","A","A","A","A","1R","2R","2R","2R","2R","1R","2R","W","F","F","QF","2R","A","1 / 12","14–11"
"Cincinnati","A","LQ","LQ","A","A","1R","1R","1R","1R","1R","2R","1R","2R","F","2R","QF","2R","2R","A","0 / 13","5–13"
"Shanghai","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","Not Held","2R","A","0 / 1","0–1"
"Paris","A","A","A","A","A","A","QF","1R","1R","SF","2R","QF","F","SF","1R","QF","W","2R","A","1 / 12","16–11"
"Hamburg","A","A","A","A","A","A","A","2R","A","2R","1R","2R","W","2R","W","F","2R","NME","NME","2 / 9","13–7"
"Masters W-L","0–0","0–0","4–2","0–1","0–0","0–1","3–5","4–9","3–7","5–9","9–8","8–9","17–5","17–7","12–7","14–9","13–8","7–9","0–0","5 / 101","116–96"
"Year End Ranking","235","135","91","158","103","92","35","26","34","13","11","18","9","6","8","10","8","24","–","–","–"
