| Year | Total passengers | Passenger Change | Domestic  | International (total) | International (non-CIS) | CIS     | Aircraft Landings | Cargo (tonnes) |
| 2000 | 930 251          | +2%              | 698 957   | 231 294               | 155 898                 | 75 396  | 8 619             | 18 344         |
| 2001 | 1 028 295        | +10,5%           | 733 022   | 295 273               | 186 861                 | 108 412 | 9 062             | 22 178         |
| 2002 | 1 182 815        | +15,0%           | 793 295   | 389 520               | 239 461                 | 150 059 | 10 162            | 20 153         |
| 2003 | 1 335 757        | +12,9%           | 879 665   | 456 092               | 297 421                 | 158 671 | 10 092            | 18 054         |
| 2004 | 1 553 628        | +16,3%           | 972 287   | 581 341               | 429 049                 | 152 292 | 11 816            | 20 457         |
| 2005 | 1 566 792        | +0,8%            | 1 006 422 | 560 370               | 429 790                 | 130 580 | 11 877            | 11 545         |
| 2006 | 1 764 948        | +12,7%           | 1 128 489 | 636 459               | 488 954                 | 147 505 | 13 289            | 15 519         |
| 2007 | 2 345 097        | +32,9%           | 1 486 888 | 858 209               | 683 092                 | 175 117 | 16 767            | 16 965         |
| 2008 | 2 529 395        | +7,8%            | 1 523 102 | 1 006 293             | 815 124                 | 191 169 | 16 407            | 17 142         |
| 2009 | 2 169 136        | −14,2%           | 1 290 639 | 878 497               | 727 718                 | 150 779 | 13 798            | 13 585         |
| 2010 | 2 748 919        | +26,7%           | 1 529 245 | 1 219 674             | 1 017 509               | 202 165 | 15 989            | 22 946         |
| 2011 | 3 355 883        | +22,1%           | 1 856 948 | 1 498 935             | 1 184 771               | 314 164 | 20 142            | 24 890         |
| 2012 | 3 783 069        | +12.7%           | 1 934 016 | 1 849 053             | 1 448 765               | 439 668 | 21 728            | 25 866         |
| 2013 | 4 293 002        | +13.5%           | 2 180 227 | 2 112 775             |                         |         | 25 728            | 27 800         |
