"#","Date","Opponent","Score","Win","Loss","Save","Crowd","Record"
"1","Apr 3","@MIN","W 8-1","Morris","Williams","","34,381","1-0"
"2","Apr 5","@MIN","W 7-3","Petry","Viola","","8,373","2-0"
"3","Apr 6","@CHW","W 3-2","Wilcox","Dotson","Hernandez","42,692","3-0"
"4","Apr 7","@CHW","W 4-0","Morris","Bannister","","24,616","4-0"
"5","Apr 8","@CHW","W 7-3","Lopez","Seaver","","20,478","5-0"
"6","Apr 10","TEX","W 5-1","Petry","Stewart","","51,238","6-0"
"7","Apr 12","TEX","W 9-4","Morris","Tanana","","19,154","7-0"
"8","Apr 13","@BOS","W 13-9","Bair","Hurst","","35,179","8-0"
"9","Apr 18","KCR","W 4-3 (10)","Hernandez","Beckwith","","12,310","9-0"
"10","Apr 19","KCR","L 2-5","Saberhagen","Petry","Quisenberry","12,100","9-1"
"11","Apr 20","CHW","W 3-2","Lopez","Reed","","33,554","10-1"
"12","Apr 21","CHW","W 4-1","Rozema","Hoyt","Bair","34,395","11-1"
"13","Apr 22","CHW","W 9-1","Berenguer","Brennan","","10,603","12-1"
"14","Apr 24","MIN","W 6-5","Morris","Davis","","N/A","13-1"
"15","Apr 24","MIN","W 4-3","Abbott","Viola","Lopez","20,315","14-1"
"16","Apr 25","@TEX","W 9-4","Wilcox","Stewart","Hernandez","25,883","15-1"
"17","Apr 26","@TEX","W 7-5","Bair","Tanana","Lopez","13,559","16-1"
"18","Apr 27","CLE","L 4-8 (19)","Aponte","Abbott","","34,112","16-2"
"19","Apr 28","CLE","W 6-2","Morris","Behenna","","28,253","17-2"
"20","Apr 29","CLE","W 6-1","Petry","Spillner","","24,853","18-2"
