"#","Date","Winner","Score","Location","Notes"
"46","January 2, 1971","West","17-13","Oakland, CA",""
"47","December 31, 1971","West","17-13","San Francisco, CA",""
"48","December 30, 1972","East","9-3","San Francisco, CA",""
"49","December 29, 1973","East","35-7","San Francisco, CA",""
"50","December 28, 1974","East","16-14","Stanford, CA",""
"51","January 3, 1976","West","21-14","Stanford, CA",""
"52","January 2, 1977","West","30-14","Stanford, CA",""
"53","December 31, 1977","West","23-3","Stanford, CA",""
"54","January 6, 1979","East","56-17","Stanford, CA",""
"55","January 5, 1980","West","20-10","Stanford, CA",""
"56","January 10, 1981","East","21-3","Stanford, CA",""
"57","January 9, 1982","West","20-13","Stanford, CA",""
"58","January 15, 1983","East","26-25","Stanford, CA",""
"59","January 7, 1984","East","27-19","Stanford, CA",""
"60","January 5, 1985","West","21-10","Stanford, CA",""
"61","January 11, 1986","East","18-7","Stanford, CA",""
"62","January 10, 1987","West","24-21","Stanford, CA",""
"63","January 16, 1988","West","16-13","Stanford, CA",""
"64","January 15, 1989","East","24-6","Stanford, CA",""
"65","January 21, 1990","West","22-21","Stanford, CA",""
"66","January 26, 1991","West","24-21","Stanford, CA",""
"67","January 19, 1992","West","14-6","Stanford, CA",""
"68","January 24, 1993","East","31-17","Stanford, CA",""
"69","January 15, 1994","West","29-28","Stanford, CA",""
"70","January 14, 1995","West","30-28","Stanford, CA",""
"71","January 13, 1996","West","34-18","Stanford, CA",""
"72","January 11, 1997","East","17-13","Stanford, CA",""
"73","January 10, 1998","West","24-7","Stanford, CA",""
"74","January 16, 1999","East","20-10","Stanford, CA",""
"75","January 15, 2000","East","35-21","Stanford, CA",""
"76","January 13, 2001","West","20-10","San Francisco, CA",""
"77","January 12, 2002","West","21-13","San Francisco, CA",""
"78","January 11, 2003","East","20-17","San Francisco, CA",""
"79","January 10, 2004","West","28-7","San Francisco, CA",""
"80","January 15, 2005","East","45-27","San Francisco, CA",""
"81","January 21, 2006","West","35-31","San Antonio, TX",""
"82","January 20, 2007","West","21-3","Houston, TX",""
"83","January 19, 2008","West","31-13","Houston, TX",""
"84","January 17, 2009","East","24-19","Houston, TX",""
"85","January 23, 2010","East","13-10","Orlando, FL","notes"
"86","January 22, 2011","East","25-8","Orlando, FL","notes"
"87","January 21, 2012","West","24-17","St. Petersburg, FL","notes"
"88","January 19, 2013","West","28-13","St. Petersburg, FL","notes"
"89","January 18, 2014","East","23-13","St. Petersburg, FL","notes"
