| Rank | Census subdivision       | Province                  | Type                     | Land area (km2, 2011) | Population 2011 | Population 2006 | Population 2001 | Population 1996 | Change in % 2006–2011 | Change in % 1996–2011 |
| 1    | Toronto                  | Ontario                   | city                     | 630.21                | 2,615,060       | 2,503,281       | 2,481,494       | 2,385,421       | 4.5                   | 9.6                   |
| 2    | Montreal                 | Quebec                    | ville                    | 365.13                | 1,649,519       | 1,620,693       | 1,583,590       | 1,547,030       | 1.8                   | 6.6                   |
| 3    | Calgary                  | Alberta                   | city                     | 825.29                | 1,096,833       | 988,193         | 879,003         | 768,082         | 10.9                  | 42.7                  |
| 4    | Ottawa                   | Ontario                   | city                     | 2,790.22              | 883,391         | 812,129         | 774,072         | 721,136         | 8.8                   | 22.5                  |
| 5    | Edmonton                 | Alberta                   | city                     | 684.37                | 812,201         | 730,372         | 666,104         | 616,306         | 11.2                  | 31.8                  |
| 6    | Mississauga              | Ontario                   | city                     | 292.40                | 713,443         | 668,549         | 612,000         | 544,382         | 6.7                   | 31.1                  |
| 7    | Winnipeg                 | Manitoba                  | city                     | 464.08                | 663,617         | 633,451         | 619,544         | 618,477         | 4.8                   | 7.3                   |
| 8    | Vancouver                | British Columbia          | city                     | 114.97                | 603,502         | 578,041         | 545,671         | 514,008         | 4.4                   | 17.3                  |
| 9    | Brampton                 | Ontario                   | city                     | 266.34                | 523,911         | 433,806         | 325,428         | 268,251         | 20.8                  | 95.1                  |
| 10   | Hamilton                 | Ontario                   | city                     | 1,117.23              | 519,949         | 504,559         | 490,268         | 467,799         | 3.1                   | 11.1                  |
| 11   | Quebec City              | Quebec                    | ville                    | 454.10                | 516,622         | 491,142         | 476,330         | 467,728         | 5.2                   | 10.5                  |
| 12   | Surrey                   | British Columbia          | city                     | 316.41                | 468,251         | 394,976         | 347,820         | 304,477         | 18.6                  | 53.9                  |
| 13   | Laval                    | Quebec                    | ville                    | 247.09                | 401,553         | 368,709         | 343,005         | 330,393         | 8.9                   | 21.5                  |
| 14   | Halifax                  | Nova Scotia               | regional municipality    | 5,490.28              | 390,096         | 372,679         | 359,111         | 342,851         | 4.7                   | 14.1                  |
| 15   | London                   | Ontario                   | city                     | 420.57                | 366,151         | 352,395         | 336,539         | 325,669         | 3.9                   | 12.6                  |
| 16   | Markham                  | Ontario                   | city                     | 212.58                | 301,709         | 261,573         | 208,615         | 173,383         | 15.3                  | 74.0                  |
| 17   | Vaughan                  | Ontario                   | city                     | 273.52                | 288,301         | 238,866         | 182,022         | 132,549         | 20.7                  | 118.2                 |
| 18   | Gatineau                 | Quebec                    | ville                    | 342.98                | 265,349         | 242,124         | 226,696         | 217,591         | 9.6                   | 22.1                  |
| 19   | Longueuil                | Quebec                    | ville                    | 115.59                | 231,409         | 229,330         | 225,761         | 225,722         | 0.9                   | 2.7                   |
| 20   | Burnaby                  | British Columbia          | city                     | 90.61                 | 223,218         | 202,799         | 193,954         | 179,209         | 10.1                  | 24.6                  |
| 21   | Saskatoon                | Saskatchewan              | city                     | 209.56                | 222,189         | 202,340         | 196,861         | 193,653         | 9.8                   | 15.0                  |
| 22   | Kitchener                | Ontario                   | city                     | 136.79                | 219,153         | 204,668         | 190,399         | 178,420         | 7.1                   | 22.3                  |
