| Genre          | Year | Title                                                          | Episode                                                                                                                                                                                                                                                                        | Role                                                   | Notes                                         |
| TV series      | 1990 | The Days and Nights of Molly Dodd                              | "Here's a Quick and Easy Recipe for Leftovers"                                                                                                                                                                                                                                 | Trent                                                  |                                               |
| Short film     | 1991 | Dangerous Music                                                |                                                                                                                                                                                                                                                                                | Tyler                                                  | 24 minutes                                    |
| Short film     | 1992 | The Bet                                                        |                                                                                                                                                                                                                                                                                | Henry                                                  | 21 minutes                                    |
| TV film        | 1994 | Normandy: The Great Crusade                                    |                                                                                                                                                                                                                                                                                | Louis Simpson                                          | voice actor                                   |
| TV series      | 1994 | NYPD Blue                                                      | "Good Time Charlie"                                                                                                                                                                                                                                                            | Paul Gaines                                            |                                               |
| Film           | 1994 | Only You                                                       |                                                                                                                                                                                                                                                                                | Dwayne, Faith's fiancé                                 |                                               |
| Film           | 1994 | The Ref                                                        |                                                                                                                                                                                                                                                                                | Old Baybrook Policeman                                 |                                               |
| Film           | 1995 | Comfortably Numb                                               |                                                                                                                                                                                                                                                                                | Priest                                                 |                                               |
| TV series      | 1995 | New York News                                                  | "You Thought the Pope Was Something"                                                                                                                                                                                                                                           |                                                        |                                               |
| Film           | 1996 | Eddie                                                          |                                                                                                                                                                                                                                                                                | Joe Nader                                              |                                               |
| Short film     | 1996 | Sin #8                                                         |                                                                                                                                                                                                                                                                                |                                                        |                                               |
| TV series      | 1997 | Nothing Sacred                                                 | "Speaking in Tongues"                                                                                                                                                                                                                                                          | Dr. Elliott                                            |                                               |
| Film           | 1997 | The Ice Storm                                                  |                                                                                                                                                                                                                                                                                | Mark Boland                                            |                                               |
| Film           | 1997 | Love! Valour! Compassion!                                      |                                                                                                                                                                                                                                                                                | Arthur Pape                                            |                                               |
| TV series      | 1998 | 3rd Rock from the Sun                                          | "The Great Dickdater"                                                                                                                                                                                                                                                          | Rick                                                   |                                               |
| Film           | 1998 | Finding North                                                  |                                                                                                                                                                                                                                                                                | Travis Furlong                                         |                                               |
| TV series      | 1998 | Law & Order                                                    | "Castoff"                                                                                                                                                                                                                                                                      | Charles Thatcher                                       | 5 episodes total                              |
| TV series      | 1998 | Sex and the City                                               | "Oh Come All Ye Faithful"                                                                                                                                                                                                                                                      | Tom                                                    |                                               |
| TV series      | 1999 | Homicide: Life on the Street                                   | "Zen and the Art of Murder"                                                                                                                                                                                                                                                    | Dennis Kohler                                          |                                               |
| Film           | 1999 | The General's Daughter                                         |                                                                                                                                                                                                                                                                                | Captain Goodson                                        |                                               |
| Film           | 1999 | The Bone Collector                                             |                                                                                                                                                                                                                                                                                | Dr. Barry Lehman                                       |                                               |
| TV film        | 1999 | The Lady in Question                                           |                                                                                                                                                                                                                                                                                | Paul Kessler                                           |                                               |
| TV series      | 2000 | D.C.                                                           | "Truth" "Justice" "Blame" "Party"                                                                                                                                                                                                                                              | Rob Rob Congressman Owens Neil                         |                                               |
| TV film        | 2000 | Hamlet                                                         |                                                                                                                                                                                                                                                                                | Horatio                                                |                                               |
| TV series      | 2000 | Law & Order: Special Victims Unit                              | "Misleader" "Nocturne"                                                                                                                                                                                                                                                         | Assistant District Attorney                            |                                               |
| TV film        | 2000 | Perfect Murder, Perfect Town: JonBenét and the City of Boulder |                                                                                                                                                                                                                                                                                |                                                        |                                               |
| Film           | 2001 | The Anniversary Party                                          |                                                                                                                                                                                                                                                                                | Jerry Adams                                            |                                               |
| TV series      | 2001 | CSI: Crime Scene Investigation                                 | "Slaves of Las Vegas"                                                                                                                                                                                                                                                          | Dr. Sidney Cornfeld                                    |                                               |
| TV series      | 2001 | The Guardian                                                   | "Loyalties"                                                                                                                                                                                                                                                                    | The Hudson's Attorney                                  |                                               |
| TV film        | 2001 | A Glimpse of Hell                                              |                                                                                                                                                                                                                                                                                |                                                        |                                               |
| TV film        | 2001 | Life with Judy Garland: Me and My Shadows                      |                                                                                                                                                                                                                                                                                | Roger Edens                                            |                                               |
| TV series      | 2001 | NYPD Blue                                                      | "Mom's Away"                                                                                                                                                                                                                                                                   | Phillip Connor                                         |                                               |
| Film           | 2002 | Changing Lanes                                                 |                                                                                                                                                                                                                                                                                | Carlyle                                                |                                               |
| TV series      | 2002 | Hack                                                           | "Obsession"                                                                                                                                                                                                                                                                    | Dr. Martin Shane                                       |                                               |
| TV series      | 2002 | Law & Order                                                    | "DR 1-102"                                                                                                                                                                                                                                                                     | Aaron Solomon                                          | 5 episodes total                              |
| TV series      | 2003 | Law & Order: Criminal Intent                                   | "Con-Text"                                                                                                                                                                                                                                                                     | Randall Fuller                                         |                                               |
| TV series      | 2003 | It's All Relative                                              | "Pilot" "Truth and Consequences" "Hell's Kitchen" "Take Me Out" "The Doctor Is Out" "Waking Uncle Paddy" "Swangate" "Road Trippin' " "Thanks, But No Thanks" "Artistic Differences" "The Santa That Came to Dinner"                                                            | Philip Stoddard                                        | 22 episodes total                             |
| TV series      | 2004 | It's All Relative                                              | "Doggy-style" "Fight for Your Invite to Party" "What's Up" "Our Sauce, It Is a Beauty" "Ready, Aim, Sing" "Tackleboxxx/The Love Below" "Cross My Heart" "A Long Day's Journey Into Leonard's" "Oscar Interruptus" "Who's Camping Now"
"Philip in a China Shop"                 | Philip Stoddard                                        | 22 episodes total                             |
| TV series      | 2004 | Law & Order                                                    | "C.O.D."                                                                                                                                                                                                                                                                       | Aaron Solomon                                          | 5 episodes total                              |
| TV series      | 2005 | Alias                                                          | "In Dreams"                                                                                                                                                                                                                                                                    | Father Kampinski                                       |                                               |
| Film           | 2005 | Flightplan                                                     |                                                                                                                                                                                                                                                                                | David                                                  |                                               |
| TV series      | 2005 | Law & Order                                                    | "Mammon"                                                                                                                                                                                                                                                                       | Aaron Solomon                                          | 5 episodes total                              |
| TV film        | 2005 | Silver Bells                                                   |                                                                                                                                                                                                                                                                                | Lawrence                                               |                                               |
| TV series      | 2006 | Brothers & Sisters                                             | "Light the Lights"                                                                                                                                                                                                                                                             | Major Guinness                                         |                                               |
| Film           | 2006 | The Ex                                                         |                                                                                                                                                                                                                                                                                | Wesley's Dad                                           |                                               |
| Film           | 2006 | Flags of Our Fathers                                           |                                                                                                                                                                                                                                                                                | Sergeant Keyes Beech                                   |                                               |
| TV film        | 2006 | A House Divided                                                |                                                                                                                                                                                                                                                                                | President Russell                                      |                                               |
| Film           | 2006 | Infamous                                                       |                                                                                                                                                                                                                                                                                | Jack Dunphy                                            |                                               |
| TV series      | 2006 | Justice                                                        | "Wrongful Death"                                                                                                                                                                                                                                                               | Lloyd Barrett                                          |                                               |
| TV series      | 2006 | Law & Order                                                    | "Profiteer"                                                                                                                                                                                                                                                                    | Aaron Solomon                                          | 5 episodes total                              |
| TV series      | 2006 | Stacked                                                        | "The Headmaster"                                                                                                                                                                                                                                                               | Headmaster Keenan                                      |                                               |
| TV series      | 2006 | Undercover History                                             | "Amelia Earhart"                                                                                                                                                                                                                                                               | Narrator                                               | voice actor; 6 episodes total                 |
| Film           | 2007 | Freedom Writers                                                |                                                                                                                                                                                                                                                                                | Brian Gelford                                          |                                               |
| TV series      | 2007 | Heartland                                                      | "Pilot"                                                                                                                                                                                                                                                                        | Bill                                                   |                                               |
| TV film        | 2007 | The Hunt for the Boston Strangler                              |                                                                                                                                                                                                                                                                                | Narrator                                               | voice actor                                   |
| TV documentary | 2007 | Secrets of the Moon Landings                                   |                                                                                                                                                                                                                                                                                | Narrator                                               | voice actor                                   |
| Film           | 2007 | The Seeker: The Dark Is Rising                                 |                                                                                                                                                                                                                                                                                | John Stanton                                           |                                               |
| TV series      | 2007 | Critical Situation                                             | "Nightmare on Mt. Hood"                                                                                                                                                                                                                                                        | Narrator                                               | voice actor; also known as Situation Critical |
| Film           | 2007 | Then She Found Me                                              |                                                                                                                                                                                                                                                                                | Alan                                                   |                                               |
| TV series      | 2007 | Undercover History                                             | "The Hunt for Hitler" "The Hunt for the Boston Strangler" "J. Edgar Hoover"                                                                                                                                                                                                    | Narrator                                               | voice actor; 6 episodes total                 |
| TV series      | 2008 | In Plain Sight                                                 | "Don of the Dead"                                                                                                                                                                                                                                                              | Donald Ferguson/Donald Fraser                          |                                               |
| TV film        | 2008 | Living Proof                                                   |                                                                                                                                                                                                                                                                                | Blake Rogers, Dr. Slamon's friend and fellow scientist |                                               |
| TV documentary | 2008 | The Real George Washington                                     |                                                                                                                                                                                                                                                                                | Narrator                                               | voice actor                                   |
