| Judge                         | Court                            | Began active service | Ended active service                           | Ended senior status |
| William Marsh Acker Jr.       | N.D. Ala.                        | August 18, 1982      | May 31, 1996                                   | Incumbent           |
| Raymond L. Acosta             | D.P.R.                           | September 30, 1982   | June 1, 1994                                   | Incumbent           |
| James Henry Alesia            | N.D. Ill.                        | May 20, 1987         | February 1, 1998                               | July 24, 2003       |
| Wayne Edward Alley            | W.D. Okla.                       | July 11, 1985        | May 16, 1999                                   | Incumbent           |
| Frank X. Altimari             | E.D.N.Y.                         | December 10, 1982    | December 23, 1985                              | –                   |
| Joseph Fletcher Anderson, Jr. | D.S.C.                           | October 14, 1986     | Incumbent                                      | –                   |
| Richard Joseph Arcara         | W.D.N.Y.                         | February 22, 1988    | Incumbent                                      | –                   |
| Morris S. Arnold              | W.D. Ark.                        | December 17, 1985    | June 1, 1992                                   | –                   |
| Lewis Thornton Babcock        | D. Colo.                         | October 17, 1988     | April 4, 2008                                  | Incumbent           |
| Bobby Ray Baldock             | D.N.M.                           | June 7, 1983         | January 24, 1986                               | –                   |
| William Henry Barbour, Jr.    | S.D. Miss.                       | April 25, 1983       | February 4, 2006                               | Incumbent           |
| Sarah Evans Barker            | S.D. Ind.                        | March 14, 1984       | Incumbent                                      | –                   |
| Maryanne Trump Barry          | D.N.J.                           | October 7, 1983      | October 25, 1999                               | –                   |
| D. Brook Bartlett             | W.D. Mo.                         | September 19, 1981   | January 21, 2000                               | –                   |
| Alice M. Batchelder           | N.D. Ohio                        | April 4, 1985        | January 4, 1992                                | –                   |
| Richard Howard Battey         | D.S.D.                           | October 28, 1985     | January 1, 1999                                | Incumbent           |
| Clarence Arlen Beam           | D. Neb.                          | November 18, 1981    | November 9, 1987                               | –                   |
| Robert Holmes Bell            | W.D. Mich.                       | July 2, 1987         | Incumbent                                      | –                   |
| Samuel H. Bell                | N.D. Ohio                        | December 22, 1982    | October 30, 1996                               | December 23, 2010   |
| Neal Brooks Biggers Jr.       | N.D. Miss.                       | March 28, 1984       | October 1, 2000                                | Incumbent           |
| Franklin S. Billings, Jr.     | D. Vt.                           | June 15, 1984        | September 9, 1994                              | Incumbent           |
| John Winslow Bissell          | D.N.J.                           | December 10, 1982    | September 1, 2005                              | –                   |
| Walter Evan Black Jr.         | D. Md.                           | April 21, 1982       | October 21, 1994                               | Incumbent           |
| Terrence Boyle                | E.D.N.C.                         | May 3, 1984          | Incumbent                                      | –                   |
| Rudi M. Brewster              | S.D. Cal.                        | June 15, 1984        | July 1, 1998                                   | September 7, 2012   |
| Robert C. Broomfield          | D. Ariz.                         | July 11, 1985        | August 12, 1999                                | Incumbent           |
| Garrett E. Brown Jr.          | D.N.J.                           | December 17, 1985    | January 2, 2012                                | January 26, 2012    |
| Paul Neeley Brown             | E.D. Tex.                        | October 17, 1985     | April 1, 2001                                  | November 26, 2012   |
| William Docker Browning       | D. Ariz.                         | May 3, 1984          | May 14, 1998                                   | February 26, 2008   |
| Robert Jensen Bryan           | W.D. Wash.                       | May 7, 1986          | November 1, 2000                               | Incumbent           |
| Frank William Bullock Jr.     | M.D.N.C.                         | December 10, 1982    | December 31, 2005                              | August 1, 2006      |
| Charles Randolph Butler Jr.   | S.D. Ala.                        | October 17, 1988     | March 28, 2005                                 | Incumbent           |
| James C. Cacheris             | E.D. Va.                         | December 1, 1981     | March 30, 1998                                 | Incumbent           |
| William W. Caldwell           | M.D. Pa.                         | March 19, 1982       | May 31, 1994                                   | Incumbent           |
| William G. Cambridge          | D. Neb.                          | June 6, 1988         | July 11, 2000                                  | –                   |
| Jack Tarpley Camp Jr.         | N.D. Ga.                         | April 20, 1988       | December 31, 2008                              | November 19, 2010   |
| Gene Carter                   | D. Me.                           | June 23, 1983        | January 2, 2003                                | Incumbent           |
| Miriam Goldman Cedarbaum      | S.D.N.Y.                         | March 4, 1986        | March 31, 1998                                 | Incumbent           |
| Constantine George Cholakis   | N.D.N.Y.                         | March 17, 1986       | June 30, 1996                                  | December 1, 1996    |
| Howell Cobb                   | E.D. Tex.                        | April 4, 1985        | March 1, 2001                                  | September 16, 2005  |
| Kenneth Conboy                | S.D.N.Y.                         | December 21, 1987    | December 31, 1993                              | –                   |
| Suzanne B. Conlon             | N.D. Ill.                        | February 22, 1988    | April 17, 2004                                 | Incumbent           |
| Patrick Anthony Conmy         | D.N.D.                           | December 17, 1985    | January 5, 2000                                | Incumbent           |
| John Edwards Conway           | D.N.M.                           | June 16, 1986        | September 1, 2000                              | Incumbent           |
| John C. Coughenour            | W.D. Wash.                       | September 28, 1981   | July 27, 2006                                  | Incumbent           |
| Robert Cowen                  | D.N.J.                           | November 4, 1985     | November 16, 1987                              | –                   |
| Emmett Ripley Cox             | S.D. Ala.                        | November 18, 1981    | April 25, 1988                                 | –                   |
| Robert Everett Coyle          | E.D. Cal.                        | April 1, 1982        | May 13, 1996                                   | May 7, 2012         |
| Sam A. Crow                   | D. Kan.                          | December 10, 1981    | November 15, 1996                              | Incumbent           |
| Samuel Ray Cummings           | N.D. Tex.                        | December 9, 1987     | Incumbent                                      | –                   |
| Thomas John Curran            | E.D. Wis.                        | November 7, 1983     | January 1, 1997                                | July 17, 2012       |
| Conrad K. Cyr                 | D. Me.                           | September 28, 1981   | November 20, 1989                              | –                   |
| Richard J. Daronco            | S.D.N.Y.                         | May 7, 1987          | May 21, 1988                                   | –                   |
| Glen H. Davidson              | N.D. Miss.                       | October 17, 1985     | June 1, 2007                                   | Incumbent           |
| John Davies                   | C.D. Cal.                        | June 9, 1986         | July 18, 1998                                  | –                   |
| Raymond J. Dearie             | E.D.N.Y.                         | March 19, 1986       | April 3, 2011                                  | Incumbent           |
| Carolyn R. Dimmick            | W.D. Wash.                       | April 4, 1985        | November 1, 1997                               | Incumbent           |
| Peter Collins Dorsey          | D. Conn.                         | July 19, 1983        | January 2, 1998                                | January 21, 2012    |
| David Singleton Doty          | D. Minn.                         | May 8, 1987          | June 30, 1998                                  | Incumbent           |
