"Round","#","Player","Nationality","College/Junior/Club Team (League)"
"1","15","Jesse Niinimäki","Finland","Ilves (Finland)"
"2","31","Jeff Deslauriers","Canada","Chicoutimi Saguenéens (QMJHL)"
"2","36","Jarret Stoll","Canada","Kootenay Ice (WHL)"
"2","44","Matt Greene","United States","Green Bay Gamblers (USHL)"
"3","79","Brock Radunske","Canada","Michigan State Spartans (NCAA)"
"4","106","Ivan Koltsov","Russia","Cherepovets (Russia)"
"4","111","Jonas Almtorp","Sweden","Modo Hockey (Sweden)"
"4","123","Robin Kovář","Czech Republic","HC Vsetin (Czech.)"
"5","148","Glenn Fisher","Canada","Fort Saskatchewan Traders (AJHL)"
"6","181","Mikko Luoma","Finland","Tappara (Finland)"
"7","205","Jean-Francois Dufort","Canada","Cape Breton Screaming Eagles (QMJHL)"
"7","211","Patrick Murphy","Canada","Newmarket Hurricanes (OPJHL)"
"8","244","Dwight Helminen","United States","Michigan Wolverines (NCAA)"
"8","245","Tomáš Micka","Czech Republic","HC Slavia Praha (Czech.)"
"9","274","Fredrik Johansson","Sweden","Frolunda (Sweden)"
