| Region/Country                                                              | 1882– 1918 | 1919– 1948 | 1948– 1951 | 1952– 1960 | 1961– 1971 | 1972– 1979 | 1980– 1989 | 1990– 2001 | 2002– 2010 | 2011– 2013 | Total     |
| Africa                                                                      |            | 11,180     | 96,272     | 143,706    | 165,372    | 20,109     | 28,822     | 55,560     | 31,419     | 7,755      | 560,195   |
| Algeria                                                                     |            | 357        | 3,810      | 3,433      | 12,857     | 2,137      | 1,830      | 1,682      | 1,967      | 167        | 27,035    |
| Egypt and Sudan                                                             |            | 4,020      | 16,514     | 17,521     | 2,963      | 535        | 372        | 202        | 166        | 14         | 42,307    |
| Ethiopia, Eritrea and Abyssinia                                             |            |            | 10         | 59         | 98         | 306        | 16,965     | 45,126     | 23,613     | 6,368      | 92,840    |
| Libya                                                                       |            | 1,300      | 30,972     | 2,079      | 2,466      | 219        | 67         | 94         | 36         | 5          | 37,138    |
| Morocco                                                                     |            | 1,500      | 30,750     | 95,945     | 130,507    | 7,780      | 3,809      | 3,276      | 2,113      | 95         | 275,261   |
| South Africa                                                                |            | 259        | 683        | 995        | 4,270      | 6,443      | 3,739      | 3,229      | 1,546      | 531        | 21,695    |
| Tunisia                                                                     |            | 1,200      | 13,293     | 23,569     | 11,566     | 2,148      | 1,942      | 1,607      | 1,871      | 250        | 57,594    |
| Zimbabwe                                                                    |            |            | 37         | 22         | 145        | 393        | 82         | 26         | 22         | 3          | 722       |
| Other (Africa)                                                              |            | 1,907      | 203        | 83         | 500        | 148        | 16         | 318        | 85         | 19         | 2,702     |
| Americas and Oceania                                                        |            | 9,872      | 4,735      | 8,584      | 53,492     | 53,706     | 43,650     | 44,302     | 48,660     | 10,445     | 277,446   |
| Argentina                                                                   |            | 238        | 1,148      | 3,921      | 15,203     | 15,235     | 11,359     | 11,673     | 10,147     | 766        | 69,690    |
| Australia                                                                   |            |            | 116        | 107        | 742        | 1,146      | 835        | 977        | 365        | 188        | 4,565     |
| Bolivia                                                                     |            |            | 0          | 0          | 199        | 94         | 80         | 53         | 84         | 11         | 521       |
| Brazil                                                                      |            |            | 304        | 763        | 2,601      | 1,763      | 1,763      | 2,356      | 2,037      | 480        | 12,271    |
| Canada                                                                      |            | 316        | 236        | 276        | 2,169      | 2,178      | 1,867      | 1,963      | 1,700      | 638        | 11,673    |
| Central America (other countries which are not specifically mentioned here) |            |            | 17         | 43         | 129        | 104        | 8          | 153        | 157        |            | 611       |
| Chile                                                                       |            |            | 48         | 401        | 1,790      | 1,180      | 1,040      | 683        | 589        | 82         | 5,813     |
| Colombia                                                                    |            |            | 0          | 0          | 415        | 552        | 475        | 657        | 965        | 206        | 3,270     |
| Cuba                                                                        |            |            | 14         | 88         | 405        | 79         | 42         | 629        | 606        | 118        | 1,981     |
| Ecuador                                                                     |            |            | 0          | 0          | 40         | 38         | 44         | 67         | 69         | 9          | 267       |
| Mexico                                                                      |            |            | 48         | 168        | 736        | 861        | 993        | 1,049      | 697        | 238        | 4,790     |
| New Zealand                                                                 |            |            | 70         | 13         | 91         | 129        | 124        | 142        | 42         | 9          | 620       |
| Panama                                                                      |            |            | 0          | 0          | 64         | 43         | 48         | 50         | 40         | 10         | 255       |
| Peru                                                                        |            |            | 0          | 0          | 269        | 243        | 358        | 612        | 1,539      | 116        | 3,137     |
| South America (other countries which are not specifically mentioned here)   |            |            | 42         | 194        | 89         | 62         | 0          | 66         | 96         |            | 549       |
| United States                                                               |            | 9,000      | 2,265      | 2,182      | 26,261     | 27,552     | 22,408     | 21,727     | 27,199     | 7,558      | 146,152   |
| Uruguay                                                                     |            |            | 66         | 425        | 1,844      | 2,199      | 2,014      | 983        | 1,555      | 194        | 9,280     |
| Venezuela                                                                   |            |            | 0          | 0          | 297        | 245        | 180        | 418        | 602        | 123        | 1,865     |
| Other (Americas/Oceania)                                                    |            | 318        | 313        | 0          | 148        | 3          | 8          | 44         | 12         | 238        | 1,084     |
| Asia                                                                        |            | 80,027     | 242,200    | 37,119     | 56,208     | 19,456     | 91,433     | 184,245    | 22,845     | 2,271      | 736,354   |
| Afghanistan                                                                 |            | 1,600      | 2,303      | 1,106      | 516        | 132        | 57         | 21         | 13         |            | 5,648     |
| Armenia                                                                     |            |            | 0          | 0          | 0          | 0          | 0          | 1,935      | 312        | 71         | 2,278     |
| Azerbaijan                                                                  |            |            | 0          | 0          | 0          | 1,800      | 25,000     | 33,453     | 2,142      | 295        | 62,691    |
| Burma                                                                       |            |            | 0          | 0          | 0          | 147        | 83         | 383        | 138        |            | 784       |
| China                                                                       |            |            | 5,000      | 217        | 96         | 43         | 78         | 277        | 84         | 21         | 5,320     |
