#	Title	TPB ISBN	TPB Release date	TPB page number	Collected material
1	The Name of the Game	ISBN 91-33-30546-3	June, 2007	152	The Boys #1-6
2	Get Some	ISBN 1-933305-68-1	March, 2008	192	The Boys #7–14
3	Good for the Soul	ISBN 1-933305-92-4	October, 2008	192	The Boys #15-22
4	We Gotta Go Now	ISBN 1-84856-298-5	July, 2009	192	The Boys #23-30
5	Herogasm	ISBN 1-60690-082-X	November, 2009	144	Herogasm #1–6
6	The Self-Preservation Society	ISBN 1-60690-125-7	March, 2010	192	The Boys #31–38
7	The Innocents	ISBN 1-60690-150-8	December, 2010	216	The Boys #39-47
8	Highland Laddie	ISBN 1-60690-207-5	April, 2011	144	Highland Laddie #1-6
9	The Big Ride	ISBN 1-60690-220-2	November 9, 2011	276	The Boys #48-59
10	Butcher, Baker, Candlestickmaker	ISBN 1-60690-264-4	March 6, 2012	144	Butcher, Baker, Candlestickmaker #1-6
11	Over the Hill with the Sword of a Thousand Men	ISBN 1-60690-341-1	June/July, 2012	152	The Boys #60-65
12	The Bloody Doors Off	ISBN 1-60690-373-X	December, 2012	170	The Boys #66-72
