Represent	Candidate	in Russian	Age	Height	Hometown
Adygean Republic	Alissa Joanndova	Алисса Йоанндова	19	1.83 m (6 ft 0 in)	Tulsky
Altai Krai	Anastasija Nindova	Анастасия Ниндова	22	1.74 m (5 ft 8 1⁄2 in)	Barnaul
Altai Republic	Kassandra Melova	Кассандра Мелова	18	1.79 m (5 ft 10 1⁄2 in)	Kosh-Agach
Amur Oblast	Myriam Asfry	Мыриам Асфры	18	1.75 m (5 ft 9 in)	Blagoveshchensk
Astrakhan Oblast	Anastasija Heldriova	Анастасия Хелдриова	18	1.74 m (5 ft 8 1⁄2 in)	Astrakhan
Bashkortostan Republic	Aimee Neosaranova	Аимее Неосаранова	19	1.77 m (5 ft 9 1⁄2 in)	Ufa
Belgorod Oblast	Jahaira Novgorodova	Яхаира Новгородова	25	1.80 m (5 ft 11 in)	Belgorod
Buryatian Republic	Loise Egiazarjan	Лоисе Егиазарян	20	1.85 m (6 ft 1 in)	Ulan-Ude
Capital City	Natalia Varnakova	Наталиа Варнакова	19	1.80 m (5 ft 11 in)	Moscow
Chechen Republic	Carmen Jenockova	Цармен Йеноцкова	24	1.80 m (5 ft 11 in)	Urus-Martan
Chelyabinsk Oblast	Tatiana Abramenko	Татиана Абраменко	21	1.74 m (5 ft 8 1⁄2 in)	Chelyabinsk
Chukotka Okrug	Mariesea Mnesiču	Мариесеа Мнесичу	19	1.80 m (5 ft 11 in)	Anadyr
Chuvash Republic	Martha Neosova	Мартха Неосова	19	1.78 m (5 ft 10 in)	Cheboksary
Irkutsk Oblast	Yulia Samoylova	Ыулиа Самоылова	21	1.77 m (5 ft 9 1⁄2 in)	Irkutsk
Jewish Autonomous Oblast	Natalia Melckenberger	Наталиа Мелцкенбергер	20	1.75 m (5 ft 9 in)	Birobidzhan
Kaluga Oblast	Tatiana Semiletova	Татиана Семилетова	20	1.73 m (5 ft 8 in)	Kaluga
Kamchatka Oblast	Anastasija Jackson	Анастасия Яцксон	23	1.76 m (5 ft 9 1⁄2 in)	Petropavlovsk-Kamchatsky
Karachay-Cherkess Republic	Stephanie Drjagina	Степхание Дрягина	24	1.81 m (5 ft 11 1⁄2 in)	Kaluga
Kemerovo Oblast	Ivette Sarova	Иветте Сарова	20	1.82 m (5 ft 11 1⁄2 in)	Mezhdurechensk
Khabarovsk Krai	Anastasija Katriova	Анастасия Катриова	18	1.76 m (5 ft 9 1⁄2 in)	Khabarovsk
Khakassian Republic	Anastasija Larekova-Sin	Анастасия Ларекова-Син	23	1.81 m (5 ft 11 1⁄2 in)	Abakan
Khanty–Mansi Okrug	Alba Šaršakova	Алба Шаршакова	18	1.76 m (5 ft 9 1⁄2 in)	Kogalym
Kostroma Oblast	Ekaterina Protod’jakonova	Екатерина Протодьяконова	18	1.84 m (6 ft 1⁄2 in)	Kostroma
Krasnodar Krai	Patricia Valiahmetova	Патрициа Валиахметова	20	1.80 m (5 ft 11 in)	Krasnodar
Kurgan Oblast	Irina Mondroe	Ирина Мондрое	25	1.79 m (5 ft 10 1⁄2 in)	Kurgan
Leningrad Oblast	Mercedes Laplsjfda	Мерцедес Лаплсйфда	18	1.79 m (5 ft 10 1⁄2 in)	Leningrad
Magadan Oblast	Ekaterina Filimonova	Екатерина Филимонова	20	1.83 m (6 ft 0 in)	Magadan
