#	Player	Σ Points	Qual.	Final
1	Karel Hromádka (Czechoslovakia)	9.5	3	6.5
2	Jan Schulz (Czechoslovakia)	9	4	5
3	Erwin Voellmy (Switzerland)	8.5	3.5	5
4	Karl Behting (Latvia)	8	2	6
	Georges Renaud (France)	8	3	5
	Roberto Grau (Argentina)	8	3.5	4.5
	George Koltanowski (Belgium)	8	3.5	4.5
8	Giovanni Cenni (Italy)	7.5	1.5	6
	Endre Steiner (Hungary)	7.5	2	5.5
	Otto Zimmermann (Switzerland)	7.5	2.5	5
	Dawid Daniuszewski (Poland)	7.5	2.5	5
	Károly Sterk (Hungary)	7.5	3	4.5
	Damián Reca (Argentina)	7.5	3.5	4
14-45	etc.			
