"Year","Tournament","Venue","Result","Extra"
"2002","European Indoor Championships","Vienna, Austria","5th",""
"2003","Universiade","Daegu, South Korea","3rd",""
"2004","World Indoor Championships","Budapest, Hungary","1st","2.04 PBi"
"2004","Summer Olympics","Athens, Greece","1st","2.06 NR"
"2004","World Athletics Final","Monte Carlo, Monaco","1st",""
"2006","World Indoor Championships","Moscow, Russia","1st","2.02"
"2006","European Championships","Gothenburg, Sweden","5th","1.99 m"
"2006","World Athletics Final","Stuttgart, Germany","4th",""
"2006","World Cup","Athens, Greece","1st","1.97"
"2007","World Championships","Osaka, Japan","4th",""
"2008","Summer Olympics","Beijing, China","4th","2.01"
"2011","World Championships","Daegu, Korea","4th","1.97"
