Title	Album details	Peak chart positions\nUS	Peak chart positions\nUS R&B	Certifications
Can-I-Bus	Released: September 8, 1998\nLabel: Universal\nFormat: CD, cassette, digital download	2	2	RIAA: Gold
2000 B.C. (Before Can-I-Bus)	Released: July 18, 2000\nLabel: Universal\nFormat: CD, cassette, digital download	23	6	
C! True Hollywood Stories	Released: November 13, 2001\nLabel: Archives Music\nFormat: CD, digital download	—	71	
Mic Club: The Curriculum	Released: November 19, 2002\nLabel: Mic Club\nFormat: CD, digital download	—	—	
Rip the Jacker	Released: July 22, 2003\nLabel: Babygrande\nFormat: CD, digital download	194	34	
Mind Control	Released: June 21, 2005\nLabel: Tommy Boy\nFormat: CD, digital download	—	79	
Hip-Hop for Sale	Released: November 22, 2005\nLabel: Babygrande\nFormat: CD, digital download	—	—	
For Whom the Beat Tolls	Released: June 5, 2007\nLabel: Mic Club\nFormat: CD, digital download	—	—	
Melatonin Magik	Released: February 2, 2010\nLabel: War Lab\nFormat: CD, digital download	—	91	
C of Tranquility	Released: October 5, 2010\nLabel: Interdependent Media\nFormat: CD, digital download	—	70	
Lyrical Law	Released: June 24, 2011\nLabel: Canibus\nFormat: CD, digital download	—	—	
