"#","Date","Venue","Opponent","Score","Result","Competition"
"1","April 4, 1985","Portland, Oregon","Canada","N/A","1–1","Friendly"
"2","August 13, 1988","St. Louis, Missouri","Jamaica","2–1","5-1","1990 World Cup qualifying"
"3","September 17, 1989","Tegucigalpa, Honduras","El Salvador","1–0","1–0","1990 World Cup qualifying"
"4","July 3, 1991","Los Angeles, California","Costa Rica","2–2","3–2","1991 CONCACAF Gold Cup"
"5","March 18, 1992","Casablanca, Morocco","Morocco","1–2","1–3","Friendly"
"6","April 4, 1992","Palo Alto, California","China PR","1–0","1-0","Friendly"
"7","April 4, 1992","Palo Alto, California","China PR","5–0","1-0","Friendly"
"8","March 14, 1993","Tokyo, Japan","Japan","1–0","1–3","Friendly"
"9","October 16, 1993","High Point, North Carolina","Ukraine","1–0","1–2","Friendly"
"10","December 5, 1993","Los Angeles, California","El Salvador","5–0","7–0","Friendly"
"11","February 20, 1994","Miami, Florida","Sweden","1–3","1–0","Friendly"
"12","March 26, 1994","Dallas, Texas","Bolivia","1–1","2–2","Friendly"
