| Eps # | Prod # | Title                           | Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Air Date   |
| 1     | 2      | Menace Of The Mole Men          | The Fantastic Four are off to carry out their experiments on a remote island. The Mole Man, however, has been waiting for them and traps them in a radiation field and plans to submerge the world’s largest cities. The Fantastic Four escape but the Mole Man traps them again. They manage to escape their separate ways. They foil Mole Man’s domination and escape the island once and for all.                                                                                                                                                                                                                                                                                                                                                                       | 9/9/1967   |
| 2     | 3      | Diablo                          | The Fantastic Four find a ruined castle in the middle of a forest in Transylvania. Ben is summoned by Diablo and unable to resist, opens Diablo's prison, unleashing him and later brainwashing Ben. Diablo tricks the world into thinking he has the power to help them. The world then realises what a fraud Diablo really is. The Fantastic Four seize this opportunity to attack Diablo’s castle. After getting far in the dungeons, the four get captured. Ben escapes, releases the others and they defeat Diablo.                                                                                                                                                                                                                                                   | 9/16/1967  |
| 3     | 7      | The Way It All Began            | While on a television show, Reed recalls the time he first met Victor von Doom before he became Dr. Doom. He had Ben as his roommate at university. Victor was working on dangerous experiments, especially a test that brought him to the hospital and got him expelled from university. Worse than that, the test altered his face and he swore revenge on Reed having to hide his work from him. Ben and Reed became soldiers in World War II. Ben, Susan, Johnny and Reed all went aboard a space rocket for space exploration. And so the origin of the Fantastic Four began. Dr. Doom confronts the Fantastic Four on the television show and briefs them on his origin. After that Dr. Doom attempts to get his revenge, but fails and escapes only to crash.       | 9/23/1967  |
| 4     | 5      | Invasion Of The Super-Skrull    | The Skrulls have immediately failed to destroy the Fantastic Four. They introduce The Super-Skrull who possesses double power effects the Fantastic Four have. The Fantastic Four are overwhelmed by the Super-Skrull’s combined powers. The Fantastic Four lure the Super-Skrull to Crater Island. Susan plants a sonic wave jamming device on the Super-Skrull before he can destroy them with his ultimate power level.                                                                                                                                                                                                                                                                                                                                                 | 9/30/1967  |
| 5a    | 1      | Klaws                           | Klaw is here to vanquish the Fantastic 4 with his solidifying sonic waves. Johnny is on vacation or so it would seem and arrives in the nick of time to assist Mr. Fantastic in catching The Klaw.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 10/7/1967  |
| 5b    | 4      | The Red Ghost                   | Reed is competing with Dr. Kragoff in race to the moon for astronomical research. During the launch, Dr. Kragoff and his primate crew have developed some reverse energy powers. Dr. Kragoff is now transparent and becomes the Red Ghost. Red Ghost kidnaps Susan after counter attacking. She escapes and thwarts Red Ghost’s attempt to eliminate her companions. Using a special device, Reed turns Red Ghost into a plastic statue.                                                                                                                                                                                                                                                                                                                                   | 10/7/1967  |
| 6     | 9      | Prisoners Of Planet X           | A UFO has been sighted. The pilot abducts the Fantastic Four from the Science Center and is setting course for Planet X. There, their dictator Kurrgo requests the Fantastic Four save their planet from another planet knocked off its orbit. Reed manages to formulate a working plan to save the population. While the plan is in process, Kurrgo has other ideas. However, Reed tricks Kurrgo and leaves him on the exploding planet while the micro-sized population and the Fantastic Four get away to safety.                                                                                                                                                                                                                                                       | 10/14/1967 |
| 7     | 14     | It Started On Yancy Street      | The Fantastic Four face a bunch of old rivals in Yancy Street, but their old enemy Red Ghost and his primates show up and capture them. During their voyage to the moon, the four turn the tables, but Red Ghost gets away and the four are dumped on the moon. They barely manage to get to a source of oxygen which is the Watcher’s laboratory. Using one of the Watcher’s machines, Reed brings down Red Ghost’s ship. Susan gets Dr. Kragoff banished into a trans-nitron machine. Reed uses that machine to get back to Earth.                                                                                                                                                                                                                                       | 10/21/1967 |
| 8     | 6      | Three Predictions Of Dr. Doom   | Dr. Doom challenges the Fantastic Four. Doctor Doom begins his plans by capturing Susan. Soon the Fantastic Four manage to locate and penetrate Dr. Doom’s flying fortress, but Ben is turned back to his former self and the other three are trapped. Ben turns himself back into the Thing, releases the others and aborts Dr. Doom’s tidal waves. They chase Dr. Doom out and back to the flying fortress. After a struggle through the dangerous complex of the fortress, they abort Dr. Doom’s global destruction for good.                                                                                                                                                                                                                                           | 10/28/1967 |
| 9     | 8      | Behold A Distant Star           | The Fantastic Four are testing their rocket when they are drawn into the Skrull Galaxy. After beating the first round of Skrulls, the Fantastic Four weaken and are taken prisoner. The cruel Skrull Warlord Morrat wishes to overthrow the Skrull Emperor. The Warlord gives the Fantastic Four the option to assist them or die. Reed tricks the Warlord into getting him and his friends' powers fully charged. They defeat the Warlord as the Emperor arrives and he allows the Fantastic 4 to go freely back to Earth.                                                                                                                                                                                                                                                | 11/4/1967  |
