"#","Title","Featured guest(s)","Producer(s)","Length"
"1","\"Intro (Skit)\"","","","1:50"
"2","\"Zero\"","","Lewis Parker","4:01"
"3","\"It's Murda\"","","Harry Love","5:01"
"4","\"Jankrowville\"","","L. Dolo","5:26"
"5","\"Parrowdice\"","Kyza And Skriblah","Harry Love","5:52"
"6","\"B 4 U Die\"","Kyza And Skriblah","Joe Buhdha","4:09"
"7","\"All I Got\"","","Joe Buhdha","4:00"
"8","\"Black Rose\"","","Joe Buhdha","4:04"
"9","\"Lynching (Skit)\"","","","1:12"
"10","\"Our Time\"","","Lewis Parker","3:56"
"11","\"Terra Firma Anthum (Skit)\"","","","0:52"
"12","\"Daggo Mentality\"","","Lewis Parker","4:01"
"13","\"Neighbour (Skit)\"","","","0:46"
"14","\"Son Of Niah\"","","AC.WAR.ION","4:54"
