| Year | Species              | Height          | Location grown                                   | State          | Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 2013 | Engelmann Spruce     | 88 feet (27 m)  | Forest in Northeast Washington state             | Washington     | Second-tallest tree ever used at the Capitol; theme is "Sharing Washington's Good Nature"; to be lit 5 PM Tues., Dec. 3; decorated with 5,000 handmade children's ornaments; passed through TX, AR, TN, VA, PA, & MD.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 2012 | Engelmann Spruce     | 73 feet (22 m)  | White River National Forest                      | Colorado       | The 2012 theme 'Celebrating Our Great Outdoors' will be highlighted in the decoration of the tree. It is expected to be lit by Speaker John Boehner during a ceremony in early December.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 2011 | Sierra White Fir     | 63 feet (19 m)  | Stanislaus National Forest                       | California     | Lit by John Boehner on December 6. Decorated with approximately 3,000 ornaments, showcasing the tree's theme "California Shines," made by people from across California. The entire tree was decorated using strands of LEDs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 2010 | Engelmann Spruce     | 67 feet (20 m)  | Bridger-Teton National Forest                    | Wyoming        | Lit by Nancy Pelosi on December 7. Decorated with approximately 5,000 ornaments, showcasing the tree's theme "Wyoming: Forever West," made by people from across Wyoming. The entire tree was decorated using strands of LEDs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 2009 | Blue Spruce          | 85 feet (26 m)  | Apache-Sitgreaves National Forests               | Arizona        | Joined by Kaitlyn Ferencik, from Canyon Ridge Elementary School in Surprise, Arizona, Nancy Pelosi lit the tree in a ceremony on December 8. The tree was felled in early November, and delivered to Washington on November 30. The tree was decorated with 10,000 LEDs, and 5,000 ornaments crafted and donated by the people of Arizona.
A significant portion of the ornaments were created by Arizona school children who were provided with specifications for their ornaments, including the instructions that “[o]rnaments cannot reflect a religious or political theme… Instead share your interpretation of our theme ‘Arizona’s Gift, from the Grand Canyon State.’” The ADF sent a letter to various officials associated with the 2009 tree, on the behalf of Candace Duncan, who's child wished to submit ornaments including the following phrases: "Happy Birthday, Jesus," and "Merry Christmas." The ADF made the argument that the child's First Amendment rights were violated by the restrictions. The instructions for the event were modified by October 1, and no longer included the religious restrictions. A spokesperson for the AOC was quoted as saying the previous instruction contained “old information,” and that “is no longer the position of the agency.” |
| 2008 | Subalpine Fir        | 70 feet (21 m)  | Bitterroot National Forest                       | Montana        | The tree was decorated with more than 5,000 ornaments displaying the theme "Sharing Montana's Treasures" by shocasing the state's heritage, historical events, and natural resources. The ornaments were crafted and donated by the people of Montana. As a part of the lighting ceremony, Jack Gladstone performed "Heart of Montana," the official song of the 2008 Christmas tree lighting ceremony. Strands of LEDs were used to light the entire tree.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 2007 | Balsam Fir           | 55 feet (17 m)  | Green Mountain National Forest                   | Vermont        | A 55-foot fir, the tree was decorated exclusively with LEDs and some 4,500 ornaments crafted and donated by the people of Vermont reflecting the theme Bringing an Old Fashioned Holiday to the Nation.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 2006 | Pacific Silver Fir   | 65 feet (20 m)  | Olympic National Forest                          | Washington     | The tree was lit by Dennis Hastert, assisted by eight-year-old Micah Joe from Bremerton, at 5 pm on December 6. Felled in early November, the tree arrived at the West Front Lawn of the Capitol on November 27. 3,000 ornaments were provided by Washington school children depicting the state's history, heritage, and landscapes and strands of 10,000 LEDs. The lighting ceremony also features carols sung by the National Presbyterian School Chorus and music performed by the United States Navy Band.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 2005 | Engelmann Spruce     | 65 feet (20 m)  | Santa Fe National Forest                         | New Mexico     | The tree was lit by Dennis Hastert, assisted by eight-year-old Steven Castillo from Santa Fe, at 5 pm on December 8 in a ceremony including music performed by the United States Marine Band. Felled in early November, the tree arrived by trailer at the West Front Lawn of the Capitol on November 28. Decorated with some 3,000 ornaments crafted and donated by the people of New Mexico, the tree was lit with 10,000 lights (including strands of LEDs for the first time), and remained lit from dusk until 11 pm each night through January 1, 2006. First tree since 1998 with the "Christmas Tree" title.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
