Position	Driver / Passenger	Equipment	Points	Wins	Second	Third
1	Daniël Willemsen / Reto Grütter	Zabel-VMC	375	15	—	—
2	Jan Hendrickx / Tim Smeuninx	Zabel-VMC	286	—	2	7
3	Kristers Sergis / Kaspars Stupelis	KTM-Mefo	242	1	8	1
4	Andy Burgler / Martin Betschart	KTM-VMC	196	—	—	2
5	Vaclav Rozehnal / Marek Rozehnal	Zabel-VMC	191	—	—	—
6	Maris Rupeiks / Haralds Kurpnieks	KTM-AYR	184	—	4	1
7	Marco Happich / Meinrad Schelbert	Zabel-VMC	180	—	1	1
8	Joris Hendrickx / Eli Piccart	KTM-AYR	177	—	—	1
9	Tomas Cermak / Ondrej Cermak	JAWA-Mefo	153	—	—	—
10	Janis Daiders / Lauris Daiders	KTM-AYR	148	—	—	—
