"Year","Number","Name","Year","Number","Name","Year","Number","Name"
"1884–1885","7","Lukin Homphrey Irving (first)","1886–1887","18","Duncan MacPherson","1888","4","William Mahlon Davis"
"1889–1890","6","Septimus Julius Augustus Denison","1891","10","Victor Brereton Rivers","1892","86","Reuben Wells Leonard"
"1893–1894","37","E.H. Drury","1895–1896","15","Francis Joseph Dixon","1897","48","A.K. Kirkpatrick"
"1898","57","H.S. Greenwood","1899","14","John Bray Cochrane","1900","41","Robert Cartwright"
"1901","154","F.M. Gaudet","1902","47","Ernest Frederick Wurtele","1903","21","A.E. Doucet"
"1904","82","Wallace Bruce Matthews Carruthers","1905","188","W.A.H. Kerr","1906","186","V.A.S. Williams"
"1907","139","C.R.F. Coutlee","1908","232","John Houlison","1909","91","J.D. Gibson"
"1910","63","George Hooper","1911","255","H.A. Panet","1912","246","Major-General Sir Henry Edward Burstall"
"1913","268","Henry Robert Visart de Bury et de Bocarmé","1914; 1919","299","Col. Harry J. Lamb DSO, VD","1920","293","C.J. Armstrong"
"1920–1922","392","W.B. Kingsmill","1923","377","A.C. Caldwell","1924","140","G.S. Cartwright"
"1925","499","Edouard de B. Panet","1926","631","A.B. Gillies","1927","623","S.B. Coristine"
"1928","555","R.R. Carr-Harris","1929","667","E.G. Hanson","1929–1930","SUO","G.D. de S. Wotherspoon"
"1930–1931","1119","J.H. Price","1932","472","A.R. Chipman","1933–1934","805","Colin W. G. Gibson"
"1935","727","D.A. White","1936–1937","877","G.L. Magann","1938–1939","1003","A.M. Mitchell"
"1940–1941","803","J.V. Young","1942–1943","1141","W.H. O'Reilly","1944","698","Everett Bristol"
"1945","982","D.W. MacKeen","1946","1841","D.G. Cunningham","1947","1230","S.H. Dobell"
"1948","1855","Ian S. Johnston","1949","1625","J.D. Watt","1950","1542","E.W. Crowe"
"1951","1860","Nicol Kingsmill","1952","1828","Ted G.E. Beament","1953","1620","R.R. Labatt"
"1954","1766","Ken H. Tremain","1955","1474","de L.H.M Panet","1956","2034","Paul Y. Davoud"
"1957","1954","W.P. Carr","1960","1379","H.A. Mackenzie","1961","2157","J.H.R. Gagnon"
"1962","2183","James E. Pepall","1963","2336","J.H. Moore","1964","2351","Guy Savard"
"1965","2749","James B. Cronyn","1966","2601","J. Fergus Maclaren","1967","2791","Jean P.W. Ostiguy"
"1968–1969","RCNC90","John F. Frank","1975–1976","3661","Terry Yates","1976–1977","5533","Glenn Allen"
"1977–1978","3172","Marshall Soule","1980–1981","3251","Jim Tremain","1981–1982","2897","Herb Pitts"
"1986–1987","5604","Ken Smee","1987–1988","3010","Peter McLoughlin","1992–1993","H3356","Robin Cumine"
"1993–1994","5244","Tony Downs","1994–1995","H7543","Senator Joseph A. Day","1995–1996","5739","Andre Costin"
"1996–1997","3550","Murray Johnston","1997–1998","8813","John D. Gibson","1998–1999","G0055","Valerie Keyes (first female)"
"1999–2000","8833","John Leggat","2000–2001","5758","Michael Morres","2001–2002","16461","Ian MacKinnon"
"2002–2003","6777","Michel Charron","2003–2004","7776","Chris Lythgo","2004–2005","7943","J. William K. Lye"
"2005–2006","10080","Robert Booth","2007–2008","6776","Tim Sparling","2008–2009","15988","Jeff Kearns"
"2010","16412","Gord Clarke","2011","19307","David Benoit","2012","9889","Robert Benn"
"2013","M0058","Marc Drolet (first UTPNCM)","","","","","",""
