N°	Name	Position	Date of birth	Nationality
1	Marcus Popp	S	23 settembre 1981	Germany
2	Stanislav Šimin	C	4 ottobre 1986	Serbia
3	Gérald Hardy-Dessources	C	9 febbraio 1983	France
4	Soané Falafala	S	16 aprile 1993	France
5	Cyril Guittet	L	13 agosto 1992	France
6	David Konečný	S/O	10 ottobre 1982	Czech Republic
7	Jean-François Exiga	L	9 marzo 1982	France
8	Nuno Pinheiro	P	31 dicembre 1984	Portugal
10	Guillaume Di Betta	S	8 settembre 1994	France
12	Maxime Dillies	P	11 aprile 1984	France
13	Kamil Baránek	S	2 maggio 1983	Czech Republic
14	Renaud Lachaise	P	12 maggio 1991	France
15	David Smith	C	15 maggio 1985	United States
16	Emmanuel Ragondet	S	6 agosto 1987	France
17	Victor Le Guennec	S	19 giugno 1994	France
18	Thibault Szymkowiak	C	19 settembre 1991	France
