"School Name","Low grade","High grade","Students (K-12)","FTE Teachers","Student/teacher ratio"
"Bethany Lutheran School","PK","8","28","3.6","7.78"
"Bethlehem Lutheran School","PK","8","182","10","18.2"
"Christ Lutheran School","K","8","12","2","6"
"Community Baptist Christian School","PK","12","120","9.8","12.24"
"Good Shepherd Early Childhood","PK","K","20","1","20"
"Grace Christian School","PK","12","117","13","9"
"Holy Cross Lutheran School","PK","8","135","7.9","17.09"
"Immanuel Lutheran School","PK","8","82","5.6","14.64"
"Michigan Lutheran Seminary","9","12","313","31","10.1"
"Nouvel Catholic Central High School","9","12","505","37","13.65"
"Peace Lutheran School","PK","8","229","",""
"Sheridan Road Christian School","K","12","42","5.9","7.12"
"St Helen Elementary School","K","8","182","10.9","16.7"
"St John's Evangelical Lutheran School","K","8","32","3","10.67"
"St Pauls Lutheran School","PK","8","155","9.6","16.15"
"St Stephen Elementary School","PK","8","364","23.1","15.76"
"St Thomas Aquinas Elementary School","K","8","403","25","16.12"
"Tri-City Seventh-Day Adventist School","1","8","18","2.1","8.57"
"Valley Lutheran High School","9","12","344","21","16.38"
"Notes","","","","",""
