"Genre","Date","Japanese title (Original title)","English title","Scoring","Notes"
"Orchestral","1957","弦楽のためのレクイエム","Requiem for Strings","for string orchestra",""
"Orchestral","1958","ソリチュード・ソノール","Solitude Sonore","for orchestra",""
"Orchestral","1961","樹の曲","Music of Trees","for orchestra",""
"Orchestral","1962","コロナII","Corona II","for string orchestra","uses graphic notation; written in collaboration with Kōhei Sugiura"
"Orchestral","1964","地平線のドーリア","The Dorian Horizon","for 17 strings",""
"Orchestral","1967","グリーン","Green","for orchestra",""
"Orchestral","1971","冬","Winter","for orchestra",""
"Orchestral","1973, 1979","秋庭歌一具","In an Autumn Garden","for gagaku orchestra",""
"Orchestral","1976","マージナリア","Marginalia","for orchestra",""
"Orchestral","1977","鳥は星型の庭に降りる","A Flock Descends into the Pentagonal Garden","for orchestra",""
"Orchestral","1981","ア・ウェイ・ア・ローン II","A Way a Lone II","for string orchestra",""
"Orchestral","1981","夢の時","Dreamtime","for orchestra",""
"Orchestral","1982","雨ぞふる","Rain Coming","for chamber orchestra",""
"Orchestral","1982","星・島","Star-Isle","for orchestra",""
"Orchestral","1983","","Lacrima","for string orchestra",""
"Orchestral","1985","夢窓","Dream/Window","for orchestra",""
"Orchestral","1988","トゥウィル・バイ・トワイライト – モートン・フェルドマンの追憶に","Twill by Twilight: In Memory of Morton Feldman","for orchestra","composed in memory of composer Morton Feldman"
"Orchestral","1988","トゥリー・ライン","Tree Line","for chamber orchestra","early title: 並木 (Namiki?)"
"Orchestral","1988","","For Lenny's Birthday, Variations on a Theme by Bernstein","for orchestra","1 of the 8 variations on \"New York, New York, It's a Wonderful Town\" from On the Town and other themes written for Leonard Bernstein's 70th birthday; collaborative composition with Luciano Berio, Leon Kirchner, John Williams, Jacob Druckman, et al."
"Orchestral","1990","ヴィジョンズ


神秘
閉じた眼","Visions


Mystère
Les Yeux clos","for orchestra",""
"Orchestral","1991","ハウ・スロー・ザ・ウィンド","How Slow the Wind","for orchestra",""
"Orchestral","1992","セレモニアル – An Autumn Ode –","Ceremonial: An Autumn Ode","for orchestra with shō",""
"Orchestral","1992","系図 – 若い人たちのための音楽詩 –","Family Tree: Musical Verses for Young People","for narrator and orchestra","words by Shuntarō Tanikawa"
"Orchestral","1993","群島S.","Archipelago S.","for 21 players in 5 groups","Group A: oboe (oboe d'amore), violin, viola, violoncello, double bass, harp, percussion (1 player)
Group B: horn I, horn II, trumpet, trombone I, trombone II
Group C: flute (alto flute), bassoon, violin, viola, violoncello, celesta, percussion (1 player)
Group D: clarinet
Group E: clarinet"
"Orchestral","1994","精霊の庭","Spirit Garden","for orchestra",""
"Orchestral","1994, 1995","三つの映画音楽


『ホゼー・トレス』
『他人の顔』
『黒い雨』","Three Film Scores


\"José Torres\"
\"The Face of Another\"
\"Black Rain\"","for string orchestra",""
"Concertante","1959","シーン","Scene","for cello and string orchestra","also for cello and piano"
"Concertante","1964","テクスチュアズ","Textures","for piano and orchestra","incorporated into Arc, Part II"
"Concertante","1963–1966
1963
1966
1963","弧（アーク） 第1部


パイル
ソリチュード
Your Love and the Crossing","Arc, Part I


Pile
Solitude
Your Love and the Crossing","for piano and orchestra","revised in 1976"
"Concertante","1964–1966
1964
1966
1966","弧（アーク） 第2部


テクスチュアズ
リフレクション
コーダ","Arc, Part II


Textures
Reflection
Coda: Shall Begin from the End","for piano and orchestra","revised in 1976"
"Concertante","1967","ノヴェンバー・ステップス","November Steps","for biwa, shakuhachi and orchestra",""
"Concertante","1968","アステリズム","Asterism","for piano and orchestra",""
"Concertante","1970","ユーカリプス I","Eucalypts I","for flute, oboe, harp and string orchestra",""
"Concertante","1971","カシオペア","Cassiopeia","for percussion solo and orchestra",""
"Concertante","1973","秋","Autumn","for biwa, shakuhachi and orchestra",""
"Concertante","1974","ジティマルヤ","Gitimalya: Bouquet of Songs","for marimba and orchestra",""
"Concertante","1974–1975","カトレーン","Quatrain","for clarinet, violin, cello, piano and orchestra",""
"Concertante","1980","遠い呼び声の彼方へ！","Far Calls. Coming, Far!","for violin and orchestra",""
"Concertante","1981","海へ II


夜
白鯨
鱈岬","Toward the Sea II


The Night
Moby Dick
Cape Cod","for alto flute, harp and string orchestra",""
"Concertante","1983","夢の縁へ","To the Edge of Dream","for guitar and orchestra",""
"Concertante","1984","虹へ向かって、パルマ","Vers, l'arc-en-ciel, Palma","for oboe d'amore, guitar and orchestra",""
"Concertante","1984","オリオンとプレアデス","Orion and Pleiades","for cello and orchestra",""
"Concertante","1984","リヴァラン","Riverrun","for piano and orchestra",""
"Concertante","1971–1986","ジェモー","Gémeaux","for oboe, trombone, 2 orchestras and 2 conductors",""
"Concertante","1987","ウォーター・ドリーミング","I Hear the Water Dreaming","for flute and orchestra",""
"Concertante","1987","ノスタルジア – アンドレイ・タルコフスキーの追憶に –","Nostalghia: In Memory of Andrej Tarkovskij","for violin and string orchestra","composed in memory of filmmaker Andrei Tarkovsky"
"Concertante","1987","夕暮れに","Yūgure ni","for orchestra","arrangement"
"Concertante","1989","ア・ストリング・アラウンド・オータム","A String around Autumn","for viola and orchestra",""
"Concertante","1990","フロム・ミー・フロウズ・ワット・ユー・コール・タイム","From Me Flows What You Call Time","for 5 percussionists and orchestra",""
"Concertante","1991","ファンタズマ/カントス","Fantasma/Cantos","for clarinet and orchestra","winner of the 1994 Grawemeyer Award for Music Composition"
"Concertante","1991","夢の引用 – Say Sea, take me! –","Quotation the Dream: Say Sea, Take Me!","for 2 pianos and orchestra",""
"Concertante","1994","ファンタズマ/カントス II","Fantasma/Cantos II","for trombone and orchestra",""
"Concertante","1995","スペクトラル・カンティクル","Spectral Canticle","for violin, guitar and orchestra",""
"Concertante","1995","ミロの彫刻のように","Comme la Sculpture de Miró","for flute, harp and orchestra","incomplete; Takemitsu's last work inspired by the sculpture of Joan Miró"
"Chamber music","1951, 1989","妖精の距離","Distance de fée","for violin and piano",""
"Chamber music","1955","室内協奏曲","Concerto de chambre","for 13 instruments",""
"Chamber music","1958","ソン・カリグラフィ I","Le Son-calligraphié I","for 4 violins, 2 violas and 2 cellos",""
"Chamber music","1958","ソン・カリグラフィ II","Le Son-calligraphié II","for 4 violins, 2 violas and 2 cellos",""
"Chamber music","1959","シーン","Scene","for cello and piano","also for cello and string orchestra"
"Chamber music","1959–1960","マスク","Masque","for 2 flutes",""
"Chamber music","1960","ソン・カリグラフィ III","Le Son-calligraphié III","for 4 violins, 2 violas and 2 cellos",""
